symbol,realized,unrealized,total_pnl
PLTR,10058.091315319884,-840.3577243291938,9217.73359099069
TSMX,8715.766520603062,-716.0300235126315,7999.73649709043
GGLL,8971.733510561513,-1269.5209529812355,7702.2125575802775
NVDU,3881.8296844386323,-535.5415202364993,3346.288164202133
AMZU,3149.722434072867,-460.0732429072377,2689.6491911656294
MSTU,6709.09293698176,-5798.739843816904,910.3530931648565
AAPU,1461.1905529652395,-697.9295457832905,763.261007181949
NFXL,4945.781336254504,-4353.246247014676,592.5350892398283
IBX,3247.4448228787724,-3333.641668841875,-86.19684596310253
METU,3020.0390423580866,-3422.56069645821,-402.5216541001232
