strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
12.5,168,450,-12840.552332019972,723,180,543,24.896265560165975,334467.2194465968,-3.8391063714003746,526,159,-69115.73693724287,-15962.192576854703,72237.37718207759
12.5,168,500,-13081.022044417536,723,178,545,24.619640387275243,334467.2194465968,-3.9110027183115728,526,159,-71636.52063885736,-15777.054780733488,74332.5533751733
12.5,168,400,-16321.109832444377,723,184,539,25.44951590594744,334467.2194465968,-4.879733762683524,526,159,-66624.34897016843,-16366.813427440642,66670.05256516469
12.5,168,350,-25119.979633029816,723,188,535,26.00276625172891,334467.2194465968,-7.5104459189133275,526,159,-71602.05465626484,-17392.4759232684,63874.55094650342
12.5,168,100,-28290.723574741838,723,326,397,45.08990318118949,334467.2194465968,-8.458444334709734,526,158,-26530.59234127518,-19303.049475924814,17542.918242458156
12.5,168,50,-29272.21266880035,730,439,291,60.136986301369866,337757.70011125976,-8.666630741255602,519,152,-19813.19533812474,-18491.543334938622,9032.526004263013
12.5,168,250,-31851.29747815639,723,208,515,28.769017980636235,334467.2194465968,-9.522995267176542,526,159,-57302.87828066676,-19873.62258365232,45325.203386162684
12.5,168,150,-33941.98697018454,723,262,461,36.23789764868603,334467.2194465968,-10.148075804362627,526,159,-40991.43904049453,-19592.422196047453,26641.874266357445
12.5,168,300,-34103.843214416,723,193,530,26.69432918395574,334467.2194465968,-10.19646806369951,526,159,-69574.19423077385,-19627.603621520117,55097.95463787794
12.5,168,200,-41238.31714336126,723,221,502,30.567081604426004,334467.2194465968,-12.3295542120969,526,159,-59952.896750257794,-18380.25166243132,37094.83126932785
