strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
20.0,168,450,774.3031183660705,714,161,553,22.54901960784314,336804.5931478918,0.22989684051787024,553,175,-65099.575295729635,-13130.041524706348,79003.91993880204
20.0,168,500,-115.59217183029705,714,154,560,21.568627450980394,336804.5931478918,-0.034320248055388074,553,175,-68851.05367797989,-11796.72927965325,80532.19078580283
20.0,168,400,-13794.673530187512,714,163,551,22.829131652661065,336804.5931478918,-4.0957498237354,553,175,-69951.22021439428,-18993.05228586092,75149.5989700677
20.0,168,350,-24528.814370977227,714,168,546,23.52941176470588,336804.5931478918,-7.282802809107344,553,175,-66050.25421454957,-23346.719368764843,64868.15921233718
20.0,168,300,-28165.514761229664,714,176,538,24.649859943977592,336804.5931478918,-8.36256848458777,553,175,-66311.53928414079,-17475.084150010036,55621.10867292116
20.0,168,50,-35304.22513859512,720,423,297,58.75,339555.264700446,-10.397195628741123,546,167,-23019.848185685078,-21429.247960753666,9144.871007843627
20.0,168,250,-37583.528657199065,714,189,525,26.47058823529412,336804.5931478918,-11.158852765614165,553,175,-64319.30203949034,-20638.863816067525,47374.637198358796
20.0,168,100,-38366.244763774375,714,310,404,43.417366946778714,336804.5931478918,-11.391247490181245,553,174,-30591.5752556859,-25266.66780427531,17491.99829618682
20.0,168,150,-43522.73323490808,714,247,467,34.593837535014,336804.5931478918,-12.922250503809826,553,175,-46227.84817952306,-24853.267914535787,27558.382859150763
20.0,168,200,-45386.71603733192,714,208,506,29.13165266106443,336804.5931478918,-13.475682030678984,553,175,-64510.983730180174,-17414.21658216507,36538.48427501332
