strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
10.0,56,500,31869.33342310471,540,137,403,25.37037037037037,259027.17740081463,12.303470911004291,735,248,-16134.586399060405,-518.2490049375174,48522.168827102636
10.0,56,450,23554.95591426022,540,138,402,25.555555555555554,259027.17740081463,9.093623360537048,735,248,-16895.505838969864,-2194.0654766857074,42644.527229915795
10.0,56,400,11892.011352058009,540,140,400,25.925925925925924,259027.17740081463,4.591028428517559,735,248,-19631.9682769106,-5242.906003760341,36766.885632728954
10.0,56,350,7263.661887104299,540,144,396,26.666666666666668,259027.17740081463,2.804208407778239,735,248,-13906.207305766175,-9719.374842671648,30889.244035542117
12.5,56,500,6951.686743310191,527,116,411,22.011385199240987,254647.00661667297,2.7299306737089406,748,251,-23114.559062183143,412.72880891505065,29653.516996578277
10.0,56,300,4195.809754363176,540,152,388,28.14814814814815,259038.2614542777,1.6197644822071078,735,248,-8403.718916382817,-15079.948435240683,27679.47710598668
10.0,56,200,66.25252623642928,541,184,357,34.011090573012936,259536.45569915508,0.025527252446271638,734,245,-5876.832799121612,-11375.159310221123,17318.244635579158
12.5,56,400,-44.97983488271893,527,124,403,23.52941176470588,254647.00661667297,-0.017663602443373033,748,251,-18042.712949100292,-3865.718587086625,21863.4517013042
10.0,56,250,-1331.880359181278,540,162,378,30.0,259038.2614542777,-0.5141635647583148,735,247,-7695.856578866825,-16670.86861208482,23034.84483177037
12.5,56,350,-2138.0553316200585,527,130,397,24.667931688804554,254647.00661667297,-0.8396153404773892,748,251,-11291.589076692379,-8814.885308594836,17968.419053667152
12.5,56,450,-4226.927917934057,527,117,410,22.2011385199241,254647.00661667297,-1.6599165935992983,748,251,-25185.866481877994,-4799.545784997301,25758.484348941238
15.0,56,350,-5169.079726176589,523,124,399,23.709369024856596,253156.78773114533,-2.041849153049847,752,260,-11255.589388635311,-9487.824229756152,15574.333892214874
15.0,56,400,-5816.860942808014,523,118,405,22.562141491395792,253276.64340054622,-2.296643253286051,752,261,-18296.944125291095,-6749.936577827271,19230.01976031036
12.5,56,250,-6903.682528928821,527,150,377,28.46299810246679,254570.55230726476,-2.71189360527298,748,249,-9020.953571245533,-9039.398091655163,11156.669133971876
12.5,56,300,-8174.2770693131515,527,137,390,25.996204933586338,254570.55230726476,-3.2110065344269905,748,250,-8442.59738023231,-13805.06609511095,14073.386406030108
15.0,56,500,-8303.49011910811,523,107,416,20.45889101338432,253276.64340054622,-3.278427101537545,752,261,-32175.621733078733,-2669.2598825307005,26541.391496501332
15.0,56,450,-8710.573165107506,523,111,412,21.223709369024856,253276.64340054622,-3.4391537443632756,752,261,-26593.31842010833,-5002.9603734050115,22885.70562840584
12.5,56,200,-9114.773335698963,531,170,361,32.015065913371,256378.25199124424,-3.555205351821436,744,247,-4803.946508773931,-11324.853965608116,7014.027138683085
10.0,56,150,-10627.991725920147,543,205,338,37.75322283609576,260346.99047399513,-4.082241053207691,732,243,-9268.235022650832,-13149.318578054434,11789.561874785119
15.0,56,200,-13133.731719818405,528,166,362,31.439393939393938,255517.30557294193,-5.140055657040086,747,256,-7871.0560023080925,-12856.976089823265,7594.30037231295
15.0,56,250,-13434.739402409728,523,144,379,27.533460803059274,253157.4295580082,-5.3068714696091135,752,259,-13376.962504766223,-8320.739053667403,8262.962156023897
10.0,56,100,-13958.06344498973,546,252,294,46.15384615384615,261595.07680005478,-5.335751580546109,729,236,-13378.482391828455,-8711.449196872476,8131.868143711199
15.0,56,150,-14711.761427996256,530,196,334,36.9811320754717,256182.92574349968,-5.742678355826978,745,255,-7839.1458001402625,-12581.730811215384,5709.11518335939
12.5,56,150,-16059.395313052846,534,195,339,36.51685393258427,257712.7373256648,-6.231510122357286,741,246,-8698.87905283333,-13314.513375185743,5953.997114966226
15.0,56,300,-16732.705276859444,523,129,394,24.665391969407267,253156.78773114533,-6.609621423475209,752,259,-13967.255394823023,-14684.097906155803,11918.64802411938
17.5,56,250,-17573.20131769267,512,138,374,26.953125,249255.91873369232,-7.050264405744389,763,264,-16928.21602433009,-7847.427105604027,7202.441812241446
17.5,56,200,-17975.84670452441,518,160,358,30.888030888030887,252081.32047617747,-7.130971335189903,757,260,-14839.670154937208,-8316.067177537832,5179.890627950634
17.5,56,150,-18434.894717607083,520,191,329,36.73076923076923,252980.85699655054,-7.287071020499567,755,258,-10276.952221530184,-12868.72385809189,4710.781362014987
20.0,56,100,-19140.30334133654,529,242,287,45.746691871455575,258597.44333503483,-7.401582588942561,746,247,-13517.861567149994,-8804.573869264263,3182.1320950777167
15.0,56,100,-19749.668048352432,532,239,293,44.92481203007519,257183.03263652226,-7.679226675993324,743,247,-13579.832974417011,-9266.47311492226,3096.6380409868398
20.0,56,150,-19875.268959223835,521,191,330,36.660268714011515,254590.13947503397,-7.806770914304352,754,263,-12411.167749976672,-12752.04535290617,5287.944143659008
