crash,symbol,profit,executed,wins,losses,paused,triggers
Dot-com crash,AAPL,-13341.170314223573,75,19,56,74,18
Dot-com crash,AMZN,-3494.3552804771425,64,19,45,85,29
Dot-com crash,MSFT,-11433.876875171649,63,10,53,86,31
Dot-com crash,NVDA,24681.95479815935,79,35,44,70,25
Dot-com crash,CSCO,-7855.478860855421,73,9,64,74,25
Housing/GFC crash,AAPL,14441.755662951604,43,18,25,45,15
Housing/GFC crash,AMZN,5645.830735254014,45,14,31,43,13
Housing/GFC crash,MSFT,-5947.36029314216,38,4,34,50,16
Housing/GFC crash,NVDA,195.15157223802242,37,11,26,51,16
Housing/GFC crash,CSCO,-12609.331599198162,38,3,35,50,16
COVID crash,AAPL,4450.164707351885,14,4,10,4,3
COVID crash,AMZN,15866.553918371526,11,8,3,6,1
COVID crash,MSFT,15316.639964499278,14,8,6,4,3
COVID crash,NVDA,30488.77697132444,16,14,2,2,2
COVID crash,CSCO,-3259.270582725922,7,0,7,11,4
