strike_otm_pct,dte_days,tp_pct,total_profit,executed,wins,losses,win_rate_pct,premium_deployed,profit_on_premium_pct,paused_entries,pause_triggers,dotcom_profit,gfc_profit,covid_profit
20.0,140,500,-896.3910674766639,672,138,534,20.535714285714285,319056.86202819436,-0.2809502550042167,597,193,-60861.85990457908,-11447.837401273875,71413.30623837629
20.0,140,450,-17472.99345502892,672,139,533,20.684523809523807,319056.86202819436,-5.476451233161339,597,193,-63998.24968733044,-17062.211010737905,63587.46724303942
20.0,140,400,-22622.384921695684,672,145,527,21.577380952380953,319056.86202819436,-7.090392846556798,597,193,-58225.15220249542,-21415.15195225162,57017.91923305135
20.0,140,350,-25277.80198979099,672,152,520,22.61904761904762,319056.86202819436,-7.9226636371661066,597,193,-58661.60995071623,-16745.099027483368,50128.9069884086
20.0,140,300,-29484.566257485938,672,161,511,23.958333333333336,319056.86202819436,-9.241163493572017,597,193,-54159.773262545496,-20235.445395536273,44910.65240059583
20.0,140,200,-30193.109396477408,672,201,471,29.910714285714285,319056.86202819436,-9.46323774531742,597,193,-39256.72895007598,-18523.533388194133,27587.152941792705
20.0,140,150,-40635.947260512046,672,231,441,34.375,319056.86202819436,-12.736271209525384,597,192,-41110.933000975034,-20938.056962459035,21413.042702922
20.0,140,50,-42398.27125331856,691,398,293,57.59768451519537,327826.85175179836,-12.933129494047305,578,177,-26826.02570785098,-22183.692414422,6611.446868954414
20.0,140,250,-44371.18785332071,672,170,502,25.297619047619047,319056.86202819436,-13.906984344815543,597,193,-60447.047819699714,-21312.707668697083,37388.5676350761
20.0,140,100,-51853.972109933406,671,276,395,41.132637853949326,318448.14022954047,-16.283333315294783,598,189,-32367.45080469846,-31266.690158272955,11780.168853038005
