crash,symbol,executed,wins,losses,win_rate_pct,profit,premium_deployed,paused_weekly_entries,pause_triggers
Dot-com crash,AAPL,53,22,31,41.509433962264154,-4647.004976222907,26441.445110584144,96,29
Dot-com crash,AMZN,53,20,33,37.735849056603776,-6533.634174431395,26209.902663422097,96,35
Dot-com crash,MSFT,52,20,32,38.46153846153847,-5653.710723296244,24238.764525444258,97,37
Dot-com crash,NVDA,57,29,28,50.877192982456144,-81.24417250977729,28446.63409514544,92,31
Dot-com crash,CSCO,56,27,29,48.214285714285715,-1359.9658837439072,24085.277184177492,93,32
Housing/GFC crash,AAPL,38,22,16,57.89473684210527,2566.336145027956,18736.85026700895,50,20
Housing/GFC crash,AMZN,35,13,22,37.142857142857146,-4243.249260501632,17172.329853522286,53,19
Housing/GFC crash,MSFT,31,16,15,51.61290322580645,235.8531170272417,14979.366056350958,57,22
Housing/GFC crash,NVDA,30,8,22,26.666666666666668,-7572.558717094719,14972.185094803608,58,24
Housing/GFC crash,CSCO,26,9,17,34.61538461538461,-3929.3156275542306,12464.971494469755,62,23
COVID crash,AAPL,6,3,3,50.0,59.34921082952354,2853.2262178809992,12,4
COVID crash,AMZN,6,3,3,50.0,185.32678810410573,2591.828533202218,12,6
COVID crash,MSFT,7,3,4,42.857142857142854,-460.88244361314787,3014.7625260285427,11,5
COVID crash,NVDA,12,12,0,100.0,5600.656404561386,5895.427794275142,6,1
COVID crash,CSCO,6,3,3,50.0,16.218782127497718,2842.042419667917,12,5
