crash,symbol,start,end,executed,wins,losses,win_rate_pct,profit,premium_deployed,profit_on_premium_pct
Dot-com crash,AAPL,1999-12-10,2002-10-09,149,67,82,44.966442953020135,-8248.411167978742,74327.84391280038,-11.09733679030913
Dot-com crash,AMZN,1999-12-10,2002-10-09,149,62,87,41.61073825503356,-11472.329027338821,73535.37118559628,-15.601103037045608
Dot-com crash,MSFT,1999-12-10,2002-10-09,149,64,85,42.95302013422819,-10403.030674815363,69354.29718453647,-14.9998357666796
Dot-com crash,NVDA,1999-12-10,2002-10-09,149,84,65,56.375838926174495,7432.752864510183,74365.11077531529,9.9949462685093
Dot-com crash,CSCO,1999-12-10,2002-10-09,149,61,88,40.939597315436245,-12138.6817482894,65497.77573676223,-18.53296789355897
Housing/GFC crash,AAPL,2007-07-09,2009-03-09,88,43,45,48.86363636363637,-1791.2085071218817,43371.96487021464,-4.129876320987201
Housing/GFC crash,AMZN,2007-07-09,2009-03-09,88,45,43,51.13636363636363,364.0300827523947,43249.86101628322,0.8416907573768627
Housing/GFC crash,MSFT,2007-07-09,2009-03-09,88,32,56,36.36363636363637,-11963.500297049424,42153.914762663524,-28.380520206502176
Housing/GFC crash,NVDA,2007-07-09,2009-03-09,88,38,50,43.18181818181818,-6957.923633345119,43889.54400181126,-15.853260250455042
Housing/GFC crash,CSCO,2007-07-09,2009-03-09,88,39,49,44.31818181818182,-4961.611711397211,42409.424127549806,-11.6993140403764
COVID crash,AAPL,2019-11-19,2020-03-23,17,8,9,47.05882352941176,-254.7628482363461,7568.504997998491,-3.366092092212646
COVID crash,AMZN,2019-11-19,2020-03-23,18,11,7,61.111111111111114,2261.109278449077,7835.141914737644,28.858561887641184
COVID crash,MSFT,2019-11-19,2020-03-23,15,8,7,53.333333333333336,771.7204735431723,6480.306502366786,11.908703288360185
COVID crash,NVDA,2019-11-19,2020-03-23,18,15,3,83.33333333333334,5544.144035962093,8819.29312760438,62.86381409195854
COVID crash,CSCO,2019-11-19,2020-03-23,18,7,11,38.88888888888889,-1901.8354726755795,8476.713750448152,-22.435999712447906
