symbol,rows,first,last
AAPU,1002,2022-08-09,2026-08-06
AMZU,982,2022-09-07,2026-08-06
DDM,4425,2009-01-02,2026-08-06
DIG,4425,2009-01-02,2026-08-06
GGLL,982,2022-09-07,2026-08-06
IBX,94,2026-03-24,2026-08-06
METU,543,2024-06-06,2026-08-06
MSFU,982,2022-09-07,2026-08-06
MVV,4425,2009-01-02,2026-08-06
NFXL,461,2024-10-03,2026-08-06
NVDU,727,2023-09-13,2026-08-06
PLTU,413,2024-12-11,2026-08-06
QLD,4425,2009-01-02,2026-08-06
ROM,4425,2009-01-02,2026-08-06
RXL,4425,2009-01-02,2026-08-06
SSO,4425,2009-01-02,2026-08-06
TSLT,701,2023-10-19,2026-08-06
UCC,4425,2009-01-02,2026-08-06
USD,4425,2009-01-02,2026-08-06
UYG,4425,2009-01-02,2026-08-06
