symbol,profit,premium,trades,wins,paused,triggers,start,end,test
METU,-10779.907309564882,18137.557578119573,47,7,53,15,2024-06-06,2026-08-05,current_mature
AAPU,20694.61362539604,27037.45971260472,62,25,83,28,2023-08-06,2026-08-05,current_mature
MSFU,30918.205970708623,28060.50006655886,64,28,80,24,2023-08-06,2026-08-05,current_mature
NFXL,9533.712896365487,14538.270926973593,38,13,39,13,2024-10-03,2026-08-05,current_mature
PLTU,10471.802905571676,2094.360581114335,6,6,8,2,2024-12-11,2026-08-05,current_mature
IBX,3941.6813882459946,1394.3792370437482,5,3,3,2,2026-03-24,2026-08-05,current_mature
NVDU,27055.20085196741,8569.48552377165,20,16,6,1,2023-09-13,2026-08-05,current_mature
GGLL,44877.588737702856,34352.0947804952,82,40,44,16,2023-08-06,2026-08-05,current_mature
AMZU,4496.085363546625,31405.933846899676,77,24,67,18,2023-08-06,2026-08-05,current_mature
TSLT,9601.89352166798,22431.560300734793,57,17,68,20,2023-10-19,2026-08-05,current_mature
SSO,684.8691332842413,37411.09415574674,82,23,63,18,2023-08-06,2026-08-05,unseen_recent
QLD,15122.370137416308,32234.102830111256,75,31,68,17,2023-08-06,2026-08-05,unseen_recent
USD,58846.01479360852,30258.586881328236,76,44,55,14,2023-08-06,2026-08-05,unseen_recent
ROM,28614.096990264414,25900.407273240362,66,31,67,17,2023-08-06,2026-08-05,unseen_recent
UCC,888.2278102234527,25751.080538002872,60,15,84,22,2023-08-06,2026-08-05,unseen_recent
UYG,39369.3560174474,33003.512343827824,76,31,68,21,2023-08-06,2026-08-05,unseen_recent
DDM,-5753.727840219837,37163.07906937894,80,20,65,18,2023-08-06,2026-08-05,unseen_recent
MVV,-7666.441498181758,30436.180292388435,73,18,70,20,2023-08-06,2026-08-05,unseen_recent
RXL,7126.593614604892,36989.81153640438,82,23,63,16,2023-08-06,2026-08-05,unseen_recent
DIG,10939.619654714192,29398.281098218118,70,20,74,20,2023-08-06,2026-08-05,unseen_recent
SSO,-26146.924485907613,187903.35047807536,389,101,307,89,2010-01-01,2023-07-31,unseen_predevelopment
QLD,116564.53825972264,188269.33087312308,392,146,304,94,2010-01-01,2023-07-31,unseen_predevelopment
USD,132129.95053260558,182124.0534822776,371,158,325,97,2010-01-01,2023-07-31,unseen_predevelopment
ROM,116241.1555075721,179845.6424910143,382,142,314,96,2010-01-01,2023-07-31,unseen_predevelopment
UCC,52378.30883064774,170743.1449139494,358,110,338,100,2010-01-01,2023-07-31,unseen_predevelopment
UYG,-4716.220023978352,155877.9733406131,340,92,351,103,2010-01-01,2023-07-31,unseen_predevelopment
DDM,-47412.18983400064,180794.94976073652,376,76,320,98,2010-01-01,2023-07-31,unseen_predevelopment
MVV,-11121.213182387111,166731.0681670405,368,97,325,102,2010-01-01,2023-07-31,unseen_predevelopment
RXL,34977.73839653814,173604.75268891215,366,102,327,87,2010-01-01,2023-07-31,unseen_predevelopment
DIG,57479.69919187883,145401.70519228757,349,115,346,98,2010-01-01,2023-07-31,unseen_predevelopment
