test,start,end,symbols,profit,premium,trades,wins,win_rate_pct,profit_on_premium_pct,positive_symbols,max_symbol_share_pct
year_2010,2010-01-01,2010-12-31,10,-13551.205658675597,75060.01450018641,154,39,25.324675324675322,-18.053827658988716,3,
year_2011,2011-01-01,2011-12-31,10,-19779.782910181428,85474.66001012949,177,34,19.2090395480226,-23.141107443817095,2,
year_2012,2012-01-01,2012-12-31,10,3643.2492064919475,136815.85074780748,280,80,28.57142857142857,2.6628853210930545,5,311.52085418984393
year_2013,2013-01-01,2013-12-31,10,146282.75746044773,127842.93283649287,261,141,54.02298850574713,114.42381226308287,9,26.986477435616973
year_2014,2014-01-01,2014-12-31,10,2017.4923781052012,102820.9593878164,212,55,25.943396226415093,1.9621411724974243,3,1314.3333031689765
year_2015,2015-01-01,2015-12-31,10,-81420.29211736663,104482.34512655163,218,18,8.256880733944955,-77.92732065761764,0,
year_2016,2016-01-01,2016-12-31,10,-34047.87493794711,100694.07684808674,211,44,20.85308056872038,-33.813185446164645,3,
year_2017,2017-01-01,2017-12-31,10,70720.33895154527,125577.50613750551,259,92,35.521235521235525,56.31608806923395,4,62.67448638230553
year_2018,2018-01-01,2018-12-31,10,-53449.264380258785,108826.1288146623,231,33,14.285714285714285,-49.11436707565536,2,
year_2019,2019-01-01,2019-12-31,10,29173.206671980122,100991.21331836678,216,81,37.5,28.886876108730274,5,51.31142733382388
year_2020,2020-01-01,2020-12-31,10,41750.0774314616,99025.67197814546,227,95,41.85022026431718,42.160862529340534,6,45.13435234722214
year_2021,2021-01-01,2021-12-31,10,28861.942991786516,104133.38337131214,234,77,32.9059829059829,27.716321180953518,5,41.28503113011847
year_2022,2022-01-01,2022-12-31,10,-48946.100118546165,72468.12424334307,180,12,6.666666666666667,-67.54155793268288,1,
year_2023,2023-01-01,2023-12-31,10,27604.757970477993,99978.70943383638,226,62,27.43362831858407,27.610636431295593,4,64.65257439690714
year_2024,2024-01-01,2024-12-31,10,35176.287950262704,106195.13471117639,241,72,29.87551867219917,33.12419918853459,6,68.34217085546922
year_2025,2025-01-01,2025-12-31,10,21456.59879346887,93610.41471697966,225,78,34.66666666666667,22.921166259481314,5,93.46744951447248
