test,start,end,symbols,profit,premium,trades,wins,win_rate_pct,profit_on_premium_pct,positive_symbols,max_symbol_share_pct,strike_pct,dte,tp_pct
grid_7.5_112_700,2023-08-06,2026-08-05,10,209128.79446955197,306956.98391845555,772,332,43.005181347150256,68.12967465340614,9,31.770861353665403,7.5,112,700
grid_10_112_700,2023-08-06,2026-08-05,10,198179.5602288949,311612.04919450264,757,291,38.44121532364597,63.598169820832176,8,37.94025438286617,10.0,112,700
grid_7.5_112_500,2023-08-06,2026-08-05,10,197851.61901587268,306956.98391845555,772,336,43.523316062176164,64.4558128276478,9,27.66730914207715,7.5,112,500
grid_12.5_112_700,2023-08-06,2026-08-05,10,195996.37829129936,318378.86169451394,750,242,32.266666666666666,61.56073843852072,7,40.96452135187942,12.5,112,700
grid_7.5_84_700,2023-08-06,2026-08-05,10,182139.6110536977,313110.8216617683,752,285,37.898936170212764,58.17097284821742,9,32.61565429022512,7.5,84,700
grid_12.5_84_700,2023-08-06,2026-08-05,10,181567.22278808843,317080.72145391814,720,221,30.694444444444446,57.26214509527533,7,33.94511835385404,12.5,84,700
grid_10_112_500,2023-08-06,2026-08-05,10,177853.35201306103,311612.04919450264,757,295,38.969616908850725,57.07524868592233,7,34.76053167170595,10.0,112,500
grid_12.5_112_500,2023-08-06,2026-08-05,10,175678.84684103154,318378.86169451394,750,254,33.86666666666667,55.17918052285652,7,39.13403881652378,12.5,112,500
grid_7.5_84_500,2023-08-06,2026-08-05,10,169301.92259515508,313110.8216617683,752,288,38.297872340425535,54.070926612060724,9,34.2047379357688,7.5,84,500
grid_7.5_112_300,2023-08-06,2026-08-05,10,159830.15306163701,306956.98391845555,772,353,45.72538860103627,52.06923492058307,8,24.115961967954913,7.5,112,300
grid_12.5_84_500,2023-08-06,2026-08-05,10,159459.08101546494,317080.72145391814,720,231,32.083333333333336,50.289743344941705,7,36.889751801926366,12.5,84,500
grid_10_84_700,2023-08-06,2026-08-05,10,155258.64432165652,318546.1360186472,740,249,33.648648648648646,48.73976694935265,7,39.32981246482963,10.0,84,700
grid_10_84_500,2023-08-06,2026-08-05,10,148170.97881316184,318546.1360186472,740,256,34.5945945945946,46.51476256001051,8,39.7149396359264,10.0,84,500
grid_10_112_300,2023-08-06,2026-08-05,10,147381.0329498172,311612.04919450264,757,321,42.40422721268164,47.296320322268606,8,28.30369092246967,10.0,112,300
grid_12.5_112_300,2023-08-06,2026-08-05,10,145339.0127228104,318378.86169451394,750,297,39.6,45.64970549529255,7,30.22489666708851,12.5,112,300
grid_7.5_84_300,2023-08-06,2026-08-05,10,135427.40443913,313110.8216617683,752,311,41.3563829787234,43.252227348891424,9,27.96665842115696,7.5,84,300
grid_10_84_300,2023-08-06,2026-08-05,10,107555.94821265967,318546.1360186472,740,284,38.37837837837838,33.76463753632331,6,36.25554873569649,10.0,84,300
grid_12.5_84_300,2023-08-06,2026-08-05,10,106815.36165876921,317080.72145391814,720,262,36.388888888888886,33.68711953504649,7,36.30510909590134,12.5,84,300
grid_10_56_700,2023-08-06,2026-08-05,10,94490.23259950889,297331.08889515605,663,177,26.69683257918552,31.779466099768577,7,42.27728941010505,10.0,56,700
grid_7.5_56_700,2023-08-06,2026-08-05,10,91281.27622420267,288744.01415842597,665,196,29.47368421052631,31.613218542469635,7,43.4816580596969,7.5,56,700
grid_7.5_56_500,2023-08-06,2026-08-05,10,86792.14010435644,288744.01415842597,665,204,30.67669172932331,30.058507137306734,7,37.94552018212054,7.5,56,500
grid_12.5_56_700,2023-08-06,2026-08-05,10,75811.75577996777,296583.82350101095,651,146,22.427035330261134,25.561662428196918,6,50.469747666773465,12.5,56,700
grid_10_56_500,2023-08-06,2026-08-05,10,69980.70610186156,297331.08889515605,663,184,27.7526395173454,23.536289582734465,7,43.60881849458497,10.0,56,500
grid_7.5_56_300,2023-08-06,2026-08-05,10,64362.27412392061,291573.4324365944,671,229,34.12816691505216,22.07412163243537,7,33.24435354864379,7.5,56,300
grid_10_56_300,2023-08-06,2026-08-05,10,53129.85574621467,300154.0718975004,669,214,31.988041853512705,17.700861231147307,7,35.200374386551644,10.0,56,300
grid_12.5_56_300,2023-08-06,2026-08-05,10,47992.54580312183,299360.2186450706,657,199,30.28919330289193,16.031704553243614,6,41.29039236419765,12.5,56,300
grid_12.5_56_500,2023-08-06,2026-08-05,10,44944.5476305831,296583.82350101095,651,155,23.809523809523807,15.15407924142225,5,64.48575304053557,12.5,56,500
