symbol,realized,unrealized,total_pnl
TSMX,26175.861166080736,-3257.1444532652877,22918.716712815447
PLTR,24439.69957410812,-2192.6320298639603,22247.067544244157
GGLL,21062.20849693201,-3530.012207193744,17532.196289738265
NVDU,5336.33432630242,1463.708280076513,6800.042606378933
AMZU,3574.746327083618,1563.190941854611,5137.937268938229
AAPU,3570.838155223142,-212.4372075543506,3358.4009476687916
MSTU,16547.641018905317,-13499.117237163076,3048.5237817422403
NFXL,13521.24763249138,-11033.711603103078,2487.5360293883023
METU,8738.556839677978,-8311.346914522712,427.2099251552663
IBX,8987.149849735744,-9445.059762498657,-457.9099127629124
