symbol,realized,unrealized,total_pnl,buys
PLTR,9095.73269985391,-640.1087932414657,8455.623906612444,26
AAPU,6645.819369334999,1375.0126102926988,8020.831979627697,20
IBX,5008.7347964778,451.29629083997133,5460.031087317771,16
GGLL,4913.949066547117,544.0898631149075,5458.038929662024,16
NFXL,3221.0652822947495,-2768.386737497797,452.67854479695234,12
AMZU,1496.9686882004544,-1198.4441435542803,298.52454464617404,8
MSTU,5394.001791070615,-5719.1695274781205,-325.1677364075058,17
NVDU,1494.047822877722,-2983.680777701298,-1489.6329548235763,8
METU,1533.8838707847199,-3137.406838874278,-1603.5229680895582,8
TSMX,0.0,-2342.224812404598,-2342.224812404598,4
