wait,tp,final,return_pct,cagr_pct,max_dd_pct,orders,exits,open
1,30,122385.18052093788,22.385180520937876,6.9653075641754825,-10.193416227345608,160,25,10
1,29,121719.07265483332,21.719072654833326,6.770893801389044,-11.219251625180648,164,27,10
1,28,120584.68712261893,20.584687122618917,6.438167027794006,-11.28906248217234,167,29,10
1,22,119983.4543085758,19.983454308575798,6.2609726880029415,-9.384563098968801,203,40,10
1,27,119771.89501951223,19.771895019512222,6.198481511642151,-11.385654141881307,169,31,10
2,28,119387.47415235365,19.387474152353647,6.0847412285775615,-11.640846634408252,164,29,10
1,23,119304.67220481315,19.304672204813155,6.0602103058774,-9.514932135014686,193,38,10
2,30,119261.3535284302,19.261353528430213,6.047372183061817,-11.613795288201201,152,24,10
2,29,119167.53582168662,19.16753582168662,6.019557273600795,-11.643002796169599,157,26,10
2,22,119035.34193793527,19.03534193793528,5.980339874018514,-9.641534806536256,200,40,10
