date,equity,winning_positions,losing_positions,paused
2023-08-07 09:30:00-04:00,99999.37531234382,0,0,False
2023-08-08 09:30:00-04:00,100000.69059212698,1,0,False
2023-08-09 09:30:00-04:00,99840.47042691817,0,2,False
2023-08-10 09:30:00-04:00,99850.38394225798,0,2,False
2023-08-11 09:30:00-04:00,99870.88111120372,1,2,False
2023-08-14 09:30:00-04:00,100072.3305172953,2,2,True
2023-08-15 09:30:00-04:00,99966.52469407057,2,2,True
2023-08-16 09:30:00-04:00,99944.59607602826,2,2,True
2023-08-17 09:30:00-04:00,99694.71848294894,2,2,True
2023-08-18 09:30:00-04:00,99762.95612978056,2,2,True
2023-08-21 09:30:00-04:00,99876.4693585529,2,2,True
2023-08-22 09:30:00-04:00,99851.37955301646,2,2,True
2023-08-23 09:30:00-04:00,100042.61404234314,3,1,True
2023-08-24 09:30:00-04:00,99673.1415625515,2,2,True
2023-08-25 09:30:00-04:00,99718.41018724408,1,3,True
2023-08-28 09:30:00-04:00,99743.35588629814,1,3,False
2023-08-29 09:30:00-04:00,100014.89010999394,4,1,False
2023-08-30 09:30:00-04:00,100212.85390140215,5,0,False
2023-08-31 09:30:00-04:00,100048.28016373265,5,1,False
2023-09-01 09:30:00-04:00,100005.55710561179,4,2,False
2023-09-05 09:30:00-04:00,100057.33328970135,5,1,False
2023-09-06 09:30:00-04:00,99874.42839022698,2,4,False
2023-09-07 09:30:00-04:00,100072.20155772772,4,2,False
2023-09-08 09:30:00-04:00,100082.91956741454,4,3,False
2023-09-11 09:30:00-04:00,100291.37549689574,5,2,False
2023-09-12 09:30:00-04:00,100124.8354540731,3,4,False
2023-09-13 09:30:00-04:00,100284.72917643067,4,3,False
2023-09-14 09:30:00-04:00,100270.75417587435,4,4,True
2023-09-15 09:30:00-04:00,99731.44091555849,2,6,True
2023-09-18 09:30:00-04:00,99960.31217674476,2,6,True
2023-09-19 09:30:00-04:00,99913.82367710763,3,5,True
2023-09-20 09:30:00-04:00,99307.2260490241,2,6,True
2023-09-21 09:30:00-04:00,98934.57852441451,2,6,False
2023-09-22 09:30:00-04:00,98825.73464086356,1,7,False
2023-09-25 09:30:00-04:00,99189.91155267767,2,6,False
2023-09-26 09:30:00-04:00,98666.61599441084,1,8,False
2023-09-27 09:30:00-04:00,98874.7307331704,1,8,False
2023-09-28 09:30:00-04:00,99410.34152159086,2,7,False
2023-09-29 09:30:00-04:00,99205.87627550299,2,7,False
2023-10-02 09:30:00-04:00,99630.29037192033,3,6,False
2023-10-03 09:30:00-04:00,98818.12069175986,1,8,False
2023-10-04 09:30:00-04:00,99404.53365846442,1,8,False
2023-10-05 09:30:00-04:00,99537.52368396294,2,7,False
2023-10-06 09:30:00-04:00,100607.57645572939,6,3,False
2023-10-09 09:30:00-04:00,101311.55653001611,7,2,False
2023-10-10 09:30:00-04:00,101377.92471148177,6,3,False
2023-10-11 09:30:00-04:00,101689.9300053755,6,3,False
2023-10-12 09:30:00-04:00,101561.45335287334,6,3,False
2023-10-13 09:30:00-04:00,100684.8008210779,6,3,False
2023-10-16 09:30:00-04:00,101146.11269667908,6,3,False
2023-10-17 09:30:00-04:00,101495.39388779082,7,2,False
2023-10-18 09:30:00-04:00,100980.42166454639,7,2,False
2023-10-19 09:30:00-04:00,100554.780614008,7,2,False
2023-10-20 09:30:00-04:00,99719.42405932417,3,6,False
2023-10-23 09:30:00-04:00,100413.4948864983,6,3,False
2023-10-24 09:30:00-04:00,100853.9464473241,6,3,False
2023-10-25 09:30:00-04:00,99537.68020149958,2,8,False
2023-10-26 09:30:00-04:00,98763.02438943487,3,7,False
2023-10-27 09:30:00-04:00,98579.34776033461,2,8,False
2023-10-30 09:30:00-04:00,98819.28050446014,3,7,False
2023-10-31 09:30:00-04:00,99030.69297854521,4,6,False
2023-11-01 09:30:00-04:00,99897.43353321924,4,6,False
2023-11-02 09:30:00-04:00,100933.62030674932,5,5,True
2023-11-03 09:30:00-04:00,101598.85685076955,6,4,True
2023-11-06 09:30:00-05:00,101891.97231715248,6,4,True
2023-11-07 09:30:00-05:00,102272.29957552395,7,3,True
2023-11-08 09:30:00-05:00,102238.69297778181,7,3,True
2023-11-09 09:30:00-05:00,101813.10900698893,7,3,False
2023-11-10 09:30:00-05:00,103032.2898244903,7,2,False
2023-11-13 09:30:00-05:00,103034.44937551266,7,2,False
2023-11-14 09:30:00-05:00,103072.16891245625,7,2,False
2023-11-15 09:30:00-05:00,102792.5757007693,7,2,False
2023-11-16 09:30:00-05:00,103224.94580443215,7,2,False
2023-11-17 09:30:00-05:00,103321.90077844859,8,2,False
2023-11-20 09:30:00-05:00,104059.25033790852,8,2,False
2023-11-21 09:30:00-05:00,103877.76569094982,9,1,False
2023-11-22 09:30:00-05:00,103897.9366230905,8,2,False
2023-11-24 09:30:00-05:00,103591.80336313645,8,2,False
2023-11-27 09:30:00-05:00,103686.65003984654,8,2,False
2023-11-28 09:30:00-05:00,103862.48520133927,8,2,False
2023-11-29 09:30:00-05:00,103422.23677372116,9,1,False
2023-11-30 09:30:00-05:00,103123.75079252441,8,2,False
2023-12-01 09:30:00-05:00,103322.9445924511,7,3,False
2023-12-04 09:30:00-05:00,102872.99062107145,6,4,False
2023-12-05 09:30:00-05:00,103634.77572469217,7,3,False
2023-12-06 09:30:00-05:00,102504.8189518385,6,4,False
2023-12-07 09:30:00-05:00,102960.16434989248,6,4,False
2023-12-08 09:30:00-05:00,103694.575968135,7,3,False
2023-12-11 09:30:00-05:00,103690.87568754323,6,4,False
2023-12-12 09:30:00-05:00,104261.20838610128,7,2,False
2023-12-13 09:30:00-05:00,104599.98880708581,8,1,False
2023-12-14 09:30:00-05:00,104254.48177084941,7,2,False
2023-12-15 09:30:00-05:00,104561.3423745413,7,2,False
2023-12-18 09:30:00-05:00,105216.50141119778,7,1,False
2023-12-19 09:30:00-05:00,105402.11476415175,7,1,False
2023-12-20 09:30:00-05:00,104714.34071371966,6,3,False
2023-12-21 09:30:00-05:00,104945.94194799961,7,2,False
2023-12-22 09:30:00-05:00,104800.80605162191,7,3,False
2023-12-26 09:30:00-05:00,104978.6329772741,7,3,False
2023-12-27 09:30:00-05:00,104851.78284764968,8,2,False
2023-12-28 09:30:00-05:00,104759.97046811649,7,3,False
2023-12-29 09:30:00-05:00,104478.55016713277,5,5,True
2024-01-02 09:30:00-05:00,103775.55941927117,4,6,True
2024-01-03 09:30:00-05:00,103766.01668520323,5,5,True
2024-01-04 09:30:00-05:00,103722.93116027817,5,5,True
2024-01-05 09:30:00-05:00,103690.4459856943,5,5,True
2024-01-08 09:30:00-05:00,104896.02252053903,6,4,False
2024-01-09 09:30:00-05:00,105282.46709213976,8,2,False
2024-01-10 09:30:00-05:00,105691.03692338296,7,3,False
2024-01-11 09:30:00-05:00,105501.57778214921,7,3,False
2024-01-12 09:30:00-05:00,105607.62219960595,7,3,False
2024-01-16 09:30:00-05:00,105742.1634183684,7,3,False
2024-01-17 09:30:00-05:00,105755.13522750617,7,3,False
2024-01-18 09:30:00-05:00,106073.76976904384,8,2,False
2024-01-19 09:30:00-05:00,106612.77784891427,7,2,False
2024-01-22 09:30:00-05:00,106582.17113238061,6,3,False
2024-01-23 09:30:00-05:00,106705.76802513526,7,2,False
2024-01-24 09:30:00-05:00,106604.76472080653,7,2,False
2024-01-25 09:30:00-05:00,106980.57718670182,5,2,False
2024-01-26 09:30:00-05:00,107016.15055409474,6,1,False
2024-01-29 09:30:00-05:00,107365.7546890444,6,2,False
2024-01-30 09:30:00-05:00,107055.3073737,6,2,False
2024-01-31 09:30:00-05:00,106647.81891526772,4,4,True
2024-02-01 09:30:00-05:00,106948.62652553216,6,2,True
2024-02-02 09:30:00-05:00,107533.12084651376,5,2,True
2024-02-05 09:30:00-05:00,107451.47993662383,5,2,True
2024-02-06 09:30:00-05:00,108823.20084129332,5,2,True
2024-02-07 09:30:00-05:00,109380.3079570499,4,2,False
2024-02-08 09:30:00-05:00,109626.20082019613,4,2,False
2024-02-09 09:30:00-05:00,109687.68461721553,5,1,False
2024-02-12 09:30:00-05:00,109423.97108326889,6,1,False
2024-02-13 09:30:00-05:00,109391.76923523421,4,3,False
2024-02-14 09:30:00-05:00,109542.17332406781,6,1,False
2024-02-15 09:30:00-05:00,109599.39442928802,7,0,False
2024-02-16 09:30:00-05:00,109328.82954014218,7,1,False
2024-02-20 09:30:00-05:00,108917.7584287918,4,4,True
2024-02-21 09:30:00-05:00,108862.79088599382,4,4,True
2024-02-22 09:30:00-05:00,109215.89278708957,5,3,True
2024-02-23 09:30:00-05:00,108918.34865402554,4,4,True
2024-02-26 09:30:00-05:00,108844.56187341415,4,4,True
2024-02-27 09:30:00-05:00,108893.82139038957,5,3,False
2024-02-28 09:30:00-05:00,108830.54379246233,5,3,False
2024-02-29 09:30:00-05:00,109021.86645783762,6,3,False
2024-03-01 09:30:00-05:00,109571.35147853073,6,3,False
2024-03-04 09:30:00-05:00,109461.3799769948,5,4,False
2024-03-05 09:30:00-05:00,109129.20144005652,5,4,False
2024-03-06 09:30:00-05:00,109144.71832835725,7,2,False
2024-03-07 09:30:00-05:00,109684.72772492861,7,2,False
2024-03-08 09:30:00-05:00,109091.04770905458,7,2,False
2024-03-11 09:30:00-04:00,108689.11135800518,6,3,False
2024-03-12 09:30:00-04:00,109309.02924850001,7,2,False
2024-03-13 09:30:00-04:00,109212.24972218418,6,3,False
2024-03-14 09:30:00-04:00,109009.9215768477,5,4,False
2024-03-15 09:30:00-04:00,108674.05456116522,5,4,False
2024-03-18 09:30:00-04:00,108302.30140838434,4,5,False
2024-03-19 09:30:00-04:00,108691.04047193364,6,3,False
2024-03-20 09:30:00-04:00,109230.92418055021,6,3,False
2024-03-21 09:30:00-04:00,108493.4306982548,5,4,False
2024-03-22 09:30:00-04:00,108896.03247008956,6,3,False
2024-03-25 09:30:00-04:00,109074.69124381158,6,3,False
2024-03-26 09:30:00-04:00,108731.71951533602,6,3,False
2024-03-27 09:30:00-04:00,108334.55543206926,4,5,False
2024-03-28 09:30:00-04:00,108040.51626844067,4,5,False
2024-04-01 09:30:00-04:00,108421.85563815455,4,5,False
2024-04-02 09:30:00-04:00,108691.22232273771,4,5,False
2024-04-03 09:30:00-04:00,109336.37768217729,6,3,False
2024-04-04 09:30:00-04:00,107723.13459757013,4,5,False
2024-04-05 09:30:00-04:00,108515.83485821183,5,4,False
2024-04-08 09:30:00-04:00,108254.91081654254,5,4,False
2024-04-09 09:30:00-04:00,107819.00844541908,4,5,False
2024-04-10 09:30:00-04:00,108194.4117441304,3,6,False
2024-04-11 09:30:00-04:00,109392.21055078335,5,4,False
2024-04-12 09:30:00-04:00,109022.1741719778,4,5,False
2024-04-15 09:30:00-04:00,107213.23348985649,4,5,False
2024-04-16 09:30:00-04:00,107266.19042194003,3,6,False
2024-04-17 09:30:00-04:00,106199.31610621022,3,6,False
2024-04-18 09:30:00-04:00,105892.9318243477,3,6,False
2024-04-19 09:30:00-04:00,104296.32897022487,1,8,False
2024-04-22 09:30:00-04:00,104832.36356805134,1,8,False
2024-04-23 09:30:00-04:00,105694.6596775327,3,7,False
2024-04-24 09:30:00-04:00,105071.88627434726,2,8,False
2024-04-25 09:30:00-04:00,106582.60963167695,3,6,False
2024-04-26 09:30:00-04:00,107198.71439205506,3,6,False
2024-04-29 09:30:00-04:00,107123.08988584552,2,8,False
2024-04-30 09:30:00-04:00,106023.41800734817,1,9,False
2024-05-01 09:30:00-04:00,105648.47499489017,1,9,False
2024-05-02 09:30:00-04:00,106299.26725392413,1,9,False
2024-05-03 09:30:00-04:00,106640.1545280254,2,8,False
2024-05-06 09:30:00-04:00,107772.66106719179,3,7,False
2024-05-07 09:30:00-04:00,106884.33418862375,2,8,False
2024-05-08 09:30:00-04:00,107338.99604579445,2,8,False
2024-05-09 09:30:00-04:00,107190.98803313366,2,8,False
2024-05-10 09:30:00-04:00,106848.52005360127,3,7,False
2024-05-13 09:30:00-04:00,106967.17335169448,3,7,False
2024-05-14 09:30:00-04:00,107635.42559549307,4,6,False
2024-05-15 09:30:00-04:00,108173.00077656457,5,5,True
2024-05-16 09:30:00-04:00,107903.16812386084,5,5,True
2024-05-17 09:30:00-04:00,107826.7320065705,4,6,True
2024-05-20 09:30:00-04:00,108275.27157598914,5,5,True
2024-05-21 09:30:00-04:00,108822.27051164096,5,5,True
2024-05-22 09:30:00-04:00,108575.93414712473,5,5,True
2024-05-23 09:30:00-04:00,107793.01607633701,5,5,True
2024-05-24 09:30:00-04:00,108245.69558947269,5,5,True
2024-05-28 09:30:00-04:00,108707.39936164861,5,5,True
2024-05-29 09:30:00-04:00,108933.067436354,6,4,True
2024-05-30 09:30:00-04:00,108363.84849530534,4,6,False
2024-05-31 09:30:00-04:00,108064.91852044438,4,6,False
2024-06-03 09:30:00-04:00,108075.68017366744,4,6,False
2024-06-04 09:30:00-04:00,108422.79869691061,4,6,False
2024-06-05 09:30:00-04:00,109472.62767206415,5,5,True
2024-06-06 09:30:00-04:00,109505.030922561,5,5,True
2024-06-07 09:30:00-04:00,109465.08069688309,5,5,True
2024-06-10 09:30:00-04:00,109790.26663711747,6,4,True
2024-06-11 09:30:00-04:00,110650.94819671537,6,3,True
2024-06-12 09:30:00-04:00,110961.88557098876,6,3,False
2024-06-13 09:30:00-04:00,110695.52644111551,5,4,False
2024-06-14 09:30:00-04:00,111207.02552926671,6,3,False
2024-06-17 09:30:00-04:00,111841.84274370241,7,2,False
2024-06-18 09:30:00-04:00,112150.42964282009,7,2,False
