date,event,wins,losses
2023-08-14 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,2,2
2023-08-21 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,2,2
2023-09-14 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,4,4
2023-11-02 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2023-11-24 09:30:00-05:00,80PCT_ADD_TSMX,8,2
2024-04-11 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,4,4
2024-05-14 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-05-30 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-07-29 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-08-06 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-09-25 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-10-11 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-10-21 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2024-10-30 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2025-10-06 09:30:00-04:00,PAUSE_EVEN_WIN_LOSS,5,5
2026-01-20 09:30:00-05:00,PAUSE_ALL_10_LOSING,0,10
2026-01-27 09:30:00-05:00,PAUSE_ALL_10_LOSING,0,10
2026-02-12 09:30:00-05:00,PAUSE_ALL_10_LOSING,0,10
2026-02-23 09:30:00-05:00,PAUSE_ALL_10_LOSING,0,10
2026-03-27 09:30:00-04:00,PAUSE_ALL_10_LOSING,0,10
2026-06-17 09:30:00-04:00,PAUSE_ALL_10_LOSING,0,10
2026-06-26 09:30:00-04:00,PAUSE_ALL_10_LOSING,0,10
