version,wait_days,wait,tp,final,return_pct,cagr_pct,max_dd_pct,orders,exits,open,pause_events,special_adds,paused_sessions
original,1,1,29,121719.07265483332,21.719072654833326,6.770893801389044,-11.219251625180648,164,27,10,,,
portfolio_rules,1,1,29,119831.01219726424,19.831012197264243,,-10.295157637370334,160,28,10,21.0,1.0,105.0
original,2,2,29,119167.53582168662,19.16753582168662,6.019557273600795,-11.643002796169599,157,26,10,,,
portfolio_rules,2,2,29,115074.67699808077,15.074676998080783,,-11.633792134210408,146,26,10,20.0,4.0,100.0
original,3,3,29,118323.61872497923,18.32361872497923,5.76869544480465,-11.708650365339645,155,26,10,,,
portfolio_rules,3,3,29,114660.87862080759,14.660878620807583,,-11.674802285827202,145,26,10,20.0,4.0,100.0
original,4,4,29,118317.77986959895,18.31777986959895,5.766955644862559,-11.819623534701574,156,27,10,,,
portfolio_rules,4,4,29,117465.03057873252,17.46503057873252,,-10.841980443577203,154,28,10,23.0,5.0,115.0
original,5,5,29,117941.50319405741,17.941503194057407,5.654715817454048,-11.898249489779932,154,26,10,,,
portfolio_rules,5,5,29,115967.89319511098,15.967893195110982,,-11.000320985792467,149,27,10,22.0,5.0,110.0
