configuration,strike_otm_pct,dte_days,tp_pct,symbol,start,end,profit,executed,wins,losses,win_rate_pct,premium_deployed,paused_entries,pause_triggers
raw_winner,10.0,84,500,METU,2024-06-06,2026-08-05,-9306.332593918536,50,7,43,14.000000000000002,20421.11257440081,60,19
balanced_winner,12.5,28,250,METU,2024-06-06,2026-08-05,5287.888360839677,41,16,25,39.02439024390244,18722.671275603596,73,22
raw_winner,10.0,84,500,AAPU,2023-08-07,2026-08-05,18994.22163918554,77,24,53,31.16883116883117,33226.42408329631,81,25
balanced_winner,12.5,28,250,AAPU,2023-08-07,2026-08-05,9446.227411790775,60,23,37,38.333333333333336,28908.465349757582,98,33
raw_winner,10.0,84,500,MSFU,2023-08-07,2026-08-05,35899.2157254052,70,31,39,44.285714285714285,30460.914656141707,86,26
balanced_winner,12.5,28,250,MSFU,2023-08-07,2026-08-05,5724.850366829192,55,19,36,34.54545454545455,26409.719090295643,103,35
raw_winner,10.0,84,500,NFXL,2024-10-03,2026-08-05,4351.721975374545,43,12,31,27.906976744186046,16586.86893380779,51,18
balanced_winner,12.5,28,250,NFXL,2024-10-03,2026-08-05,378.34762908795415,40,12,28,30.0,18512.91700306708,57,21
raw_winner,10.0,84,500,PLTU,2024-12-11,2026-08-05,11912.212641340508,9,8,1,88.88888888888889,3913.9564554821036,8,3
balanced_winner,12.5,28,250,PLTU,2024-12-11,2026-08-05,1065.0676877686992,31,10,21,32.25806451612903,11824.215481810385,52,18
raw_winner,10.0,84,500,IBX,2026-03-24,2026-08-05,8250.940747569946,8,5,3,62.5,3256.06683425568,11,5
balanced_winner,12.5,28,250,IBX,2026-03-24,2026-08-05,-2322.492790976263,6,0,6,0.0,2524.4926231295835,14,4
raw_winner,10.0,84,500,NVDU,2023-09-13,2026-08-05,30718.94365894683,21,17,4,80.95238095238095,8982.241250453792,12,2
balanced_winner,12.5,28,250,NVDU,2023-09-13,2026-08-05,10824.59574447571,42,19,23,45.23809523809524,16878.708540331172,68,18
raw_winner,10.0,84,500,GGLL,2023-08-07,2026-08-05,48104.397460084154,83,41,42,49.39759036144578,34635.99523808831,45,15
balanced_winner,12.5,28,250,GGLL,2023-08-07,2026-08-05,4324.743756788908,56,18,38,32.142857142857146,25031.870805775325,98,34
raw_winner,10.0,84,500,AMZU,2023-08-07,2026-08-05,8747.4705151558,79,25,54,31.645569620253166,32665.322479678307,75,20
balanced_winner,12.5,28,250,AMZU,2023-08-07,2026-08-05,-483.15340088549067,55,16,39,29.09090909090909,25820.43363388857,103,33
raw_winner,10.0,84,500,TSLT,2023-10-19,2026-08-05,13875.55974251158,64,18,46,28.125,25189.50976450511,74,22
balanced_winner,12.5,28,250,TSLT,2023-10-19,2026-08-05,-725.779405762434,49,13,36,26.53061224489796,21227.169578828332,98,32
