symbol,profit,premium,trades,wins,paused,triggers,start,end
METU,-10779.90730956493,18137.557578119613,47,7,53,15,2024-06-06,2026-08-05
AAPU,20694.61362539612,27037.459712604832,62,25,83,28,2023-08-06,2026-08-05
MSFU,30918.2059707086,28060.50006655886,64,28,80,24,2023-08-06,2026-08-05
NFXL,9533.712896365494,14538.270926973564,38,13,39,13,2024-10-03,2026-08-05
PLTU,10471.80290557168,2094.360581114336,6,6,8,2,2024-12-11,2026-08-05
IBX,3941.6813882459946,1394.3792370437482,5,3,3,2,2026-03-24,2026-08-05
NVDU,27055.200851967384,8569.485523771642,20,16,6,1,2023-09-13,2026-08-05
GGLL,44877.58873770284,34352.09478049524,82,40,44,16,2023-08-06,2026-08-05
AMZU,4496.0853635466265,31405.93384689963,77,24,67,18,2023-08-06,2026-08-05
TSLT,9601.893521667997,22431.560300734818,57,17,68,20,2023-10-19,2026-08-05
