symbol,profit,premium,trades,wins,paused,triggers,start,end
SSO,684.8691332843016,37411.0941557467,82,23,63,18,2023-08-06,2026-08-05
QLD,15122.370137416327,32234.102830111202,75,31,68,17,2023-08-06,2026-08-05
USD,58846.014793608665,30258.58688132831,76,44,55,14,2023-08-06,2026-08-05
ROM,28614.096990264457,25900.407273240417,66,31,67,17,2023-08-06,2026-08-05
UCC,888.2278102235236,25751.08053800274,60,15,84,22,2023-08-06,2026-08-05
UYG,39369.3560174478,33003.51234382846,76,31,68,21,2023-08-06,2026-08-05
DDM,-5753.727840219821,37163.07906937906,80,20,65,18,2023-08-06,2026-08-05
MVV,-7666.4414981817135,30436.180292388406,73,18,70,20,2023-08-06,2026-08-05
RXL,7126.593614604854,36989.81153640451,82,23,63,16,2023-08-06,2026-08-05
DIG,10939.61965471436,29398.281098218813,70,20,74,20,2023-08-06,2026-08-05
