fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,84,300.0,225091.40184645905,45.3199826728136,-62942.90373970512,217419.72083202505,-28.94995150340285,454,23.568281938325992
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,84,500.0,265125.0064406413,53.38036281908062,-63733.58275149863,217419.72083202505,-29.313616312081532,454,22.46696035242291
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,84,700.0,276663.92222579045,55.70361221535355,-67348.67761374108,217419.72083202505,-30.976342604070204,454,22.24669603524229
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,84,300.0,192095.22989123303,39.34405564405768,-79497.87796482205,208978.1730470872,-38.04123502740618,434,19.12442396313364
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,84,500.0,225897.56598629916,46.26729362855338,-78168.12816583576,208978.1730470872,-37.40492465125668,434,17.51152073732719
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,84,700.0,247623.6385911052,50.71712723438692,-90175.906382526,208978.1730470872,-43.150873159469846,434,16.589861751152075
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,84,300.0,140546.50151553354,29.75857575351384,-92442.24842862594,205730.783269744,-44.93360058198984,425,15.058823529411764
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,84,500.0,160494.631009651,33.982287594722415,-94280.00640977173,205730.783269744,-45.82688351803749,425,12.705882352941176
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,12.5,84,700.0,184081.6070945529,38.97646964158963,-104350.99926713054,205730.783269744,-50.72211246593598,425,11.294117647058824
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,300.0,217176.76068355417,28.53883600207246,51100.22286459122,254757.12899998671,20.05840741932442,536,37.12686567164179
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,500.0,259313.1873614861,34.075913573770094,68167.01147061253,254757.12899998671,26.757646287737877,536,36.38059701492538
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,7.5,84,700.0,268890.2222782597,35.3344157634872,69705.12110179839,254757.12899998671,27.361401573104565,536,36.19402985074627
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,300.0,154497.70950083697,20.683619814224016,23536.13029707987,248144.3533105596,9.484854272554712,517,32.495164410058024
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,500.0,186412.189643451,24.956220204036622,43245.0446006128,248144.3533105596,17.4273740359872,517,30.56092843326886
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,10.0,84,700.0,203587.78005695017,27.255628935372687,38023.68438676637,248144.3533105596,15.323211622381214,517,30.174081237911025
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,300.0,70873.84536595951,9.803965554147211,-22322.732388062563,234923.2440223759,-9.502138658504297,484,25.82644628099173
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,500.0,77046.60262361464,10.657841891965193,-4040.257777838164,234923.2440223759,-1.7198203586245977,484,23.34710743801653
2016_2017,2010-01-01,2015-10-09,2016-01-01,2017-12-31,84,12.5,84,700.0,93875.69492491332,12.985807030269106,-4477.28339208474,234923.2440223759,-1.905849466159376,484,22.31404958677686
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,84,300.0,180583.47455368144,17.11956406132231,-32662.69686039205,211770.2453786373,-15.423647832108031,456,26.75438596491228
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,84,500.0,217974.75792375256,20.664309628828278,-54417.15642449794,211770.2453786373,-25.696318350673906,456,22.149122807017545
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,7.5,84,700.0,223538.8680634532,21.191794993789184,-63707.84382618767,211770.2453786373,-30.083472639076565,456,21.052631578947366
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,84,300.0,93808.73450917438,9.132069680305117,-40656.36543404792,206430.27781138857,-19.69496232098029,438,22.831050228310502
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,84,500.0,123040.7376827799,11.97773955606875,-53465.91375804187,206430.27781138857,-25.90022855411388,438,18.493150684931507
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,10.0,84,700.0,128202.67593822614,12.480242655388968,-66718.17809114131,206430.27781138857,-32.31995751713343,438,16.666666666666664
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,84,300.0,251.62900809691743,0.0258365545317625,-54917.661201793264,206823.92360270687,-26.552857254214917,433,19.630484988452658
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,84,500.0,5415.361990955564,0.5560340457037782,-57737.40699319328,206823.92360270687,-27.916212973554487,433,15.473441108545035
2018_2019,2010-01-01,2017-10-09,2018-01-01,2019-12-31,84,12.5,84,700.0,13588.967569501438,1.3952767381436022,-67377.67692350075,206823.92360270687,-32.577312986735606,433,13.394919168591224
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,84,300.0,276154.06428140646,20.935310462632724,138661.25762162238,247543.96700045915,56.0147998360894,569,50.790861159929705
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,84,500.0,331581.1390504072,25.13725122111504,134871.21459441213,247543.96700045915,54.48374130409002,569,47.27592267135325
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,7.5,84,700.0,315839.7508763103,23.94389254506197,119266.52693384746,247543.96700045915,48.17993683264608,569,46.22144112478031
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,84,300.0,180230.39347921888,14.011538114215494,122737.7183079893,238057.19550067687,51.55807958245073,542,46.678966789667896
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,84,500.0,232590.9788612395,18.082174168435778,131052.19924769385,238057.19550067687,55.05071962730117,542,42.25092250922509
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,10.0,84,700.0,228996.04960292028,17.802695844339148,91017.75925789269,238057.19550067687,38.23356780561328,542,39.66789667896679
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,84,300.0,34867.4524389949,2.8416037435556776,111626.5441181076,237084.15648214088,47.08308888051582,529,43.10018903591683
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,84,500.0,75282.10177520012,6.13528913824238,112065.50354714232,236611.61351185312,47.362638665041,528,36.93181818181818
2020_2021,2010-01-01,2019-10-09,2020-01-01,2021-12-31,84,12.5,84,700.0,96874.4995864982,7.895011577393335,96421.31469121804,236611.61351185312,40.75088000124211,528,34.659090909090914
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,84,300.0,475848.299865698,29.621770678401933,-49228.59411264003,182519.5592898212,-26.97168144838131,439,18.90660592255125
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,84,500.0,569455.2104201012,35.448842959922736,-39661.01051716109,182519.5592898212,-21.729731690938248,439,17.312072892938495
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,7.5,84,700.0,549222.5720327682,34.18935212072512,-32031.05712048021,182519.5592898212,-17.54938333464765,439,17.312072892938495
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,84,300.0,361062.0953237788,23.096483705105765,-47423.75544986444,183679.93672638724,-25.81869108573773,437,18.993135011441648
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,84,500.0,455227.8174614751,29.12009320358414,-41574.29848154829,183679.93672638724,-22.634098869207516,437,16.475972540045767
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,10.0,84,700.0,450562.4193178411,28.82165619344702,-30267.956651358763,183679.93672638724,-16.478640613017213,437,16.475972540045767
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,12.5,84,300.0,188453.4979193034,12.545449657323427,-41928.39686614027,186289.6033546132,-22.5071051261659,433,19.399538106235568
2022_2023,2010-01-01,2021-10-09,2022-01-01,2023-12-31,84,12.5,84,500.0,261864.1557755716,17.43792174551247,-39056.71244212802,186289.6033546132,-20.96558892112797,433,15.935334872979215
