test,start,end,symbols,profit,premium,trades,wins,win_rate_pct,profit_on_premium_pct,positive_symbols,max_symbol_share_pct,strike_pct,dte,tp_pct,rank
grid_7.5_112_700,2023-08-06,2026-08-05,10,209128.794469552,306956.98391845555,772,332,43.005181347150256,68.12967465340614,9,31.770861353665403,7.5,112,700,1
grid_10_112_700,2023-08-06,2026-08-05,10,198179.5602288949,311612.04919450264,757,291,38.44121532364597,63.598169820832176,8,37.94025438286617,10.0,112,700,2
grid_7.5_112_500,2023-08-06,2026-08-05,10,197851.61901587268,306956.98391845555,772,336,43.52331606217616,64.4558128276478,9,27.66730914207715,7.5,112,500,3
grid_12.5_112_700,2023-08-06,2026-08-05,10,195996.37829129936,318378.86169451394,750,242,32.266666666666666,61.56073843852072,7,40.96452135187942,12.5,112,700,4
grid_7.5_84_700,2023-08-06,2026-08-05,10,182139.6110536977,313110.8216617683,752,285,37.89893617021277,58.17097284821742,9,32.61565429022512,7.5,84,700,5
grid_12.5_84_700,2023-08-06,2026-08-05,10,181567.22278808843,317080.72145391814,720,221,30.694444444444446,57.26214509527533,7,33.94511835385404,12.5,84,700,6
grid_10_112_500,2023-08-06,2026-08-05,10,177853.35201306103,311612.04919450264,757,295,38.969616908850725,57.07524868592233,7,34.76053167170595,10.0,112,500,7
grid_12.5_112_500,2023-08-06,2026-08-05,10,175678.84684103154,318378.86169451394,750,254,33.86666666666667,55.17918052285652,7,39.13403881652378,12.5,112,500,8
grid_7.5_84_500,2023-08-06,2026-08-05,10,169301.92259515508,313110.8216617683,752,288,38.297872340425535,54.07092661206072,9,34.2047379357688,7.5,84,500,9
grid_7.5_112_300,2023-08-06,2026-08-05,10,159830.153061637,306956.98391845555,772,353,45.72538860103627,52.06923492058307,8,24.115961967954917,7.5,112,300,10
