fold,train_start,train_end_purged,test_start,test_end,embargo_days,strike_otm_pct,dte_days,tp_pct,train_profit,train_profit_on_premium_pct,test_profit,test_premium,test_profit_on_premium_pct,test_trades,test_win_rate_pct
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,56,300.0,68046.46585092254,15.297128080023262,-82038.80650217611,197091.67126043033,-41.62469473089646,408,18.627450980392158
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,56,500.0,87770.62451155022,19.731200849700116,-87844.09371084337,197091.67126043033,-44.570170392826554,408,16.911764705882355
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,56,700.0,86314.44943847613,19.40384664663904,-93542.0140007527,197091.67126043033,-47.46117043025598,408,16.666666666666664
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,84,300.0,225091.40184645905,45.319982672813595,-62942.90373970512,217419.72083202505,-28.949951503402854,454,23.568281938325992
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,84,500.0,265125.0064406413,53.38036281908062,-63733.58275149863,217419.72083202505,-29.313616312081535,454,22.46696035242291
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,84,700.0,276663.92222579045,55.70361221535355,-67348.67761374108,217419.72083202505,-30.976342604070204,454,22.24669603524229
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,112,300.0,269809.7391186459,51.30513977164334,-65893.62239465422,242243.75507535963,-27.201370939017757,509,21.611001964636543
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,112,500.0,321304.3351172766,61.09699329710963,-72079.67183784589,242243.75507535963,-29.755017550575296,509,20.6286836935167
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,7.5,112,700.0,316504.77603872586,60.184342589349136,-76387.86433381277,242243.75507535963,-31.533471032121867,509,20.6286836935167
2014_2015,2010-01-01,2013-10-09,2014-01-01,2015-12-31,84,10.0,56,300.0,37169.696557265976,8.546167968389168,-93606.47461771034,181511.10032657892,-51.57066121536998,373,14.47721179624665
