date,equity,cash,positions,exposure
2022-08-09,99998.75062468766,97500.0,1,2498.7506246876565
2022-08-10,100103.82423926203,97500.0,1,2603.8242392620273
2022-08-11,100085.56186078784,94997.8296919822,1,5087.732168805642
2022-08-12,100248.92037916729,94997.8296919822,1,5251.0906871850875
2022-08-15,100294.18840233269,94997.8296919822,1,5296.358710350477
2022-08-16,100286.31570265174,94997.8296919822,1,5288.48601066954
2022-08-17,100353.2336499397,94997.8296919822,1,5355.403957957506
2022-08-18,100335.5200756576,94997.8296919822,1,5337.690383675397
2022-08-19,100216.1774886197,92492.39395247112,1,7723.783536148585
2022-08-22,99944.07213398871,89993.76093181729,1,9950.311202171417
2022-08-23,99893.5234643411,89993.76093181729,1,9899.76253252381
2022-08-24,99944.07213398871,89993.76093181729,1,9950.311202171417
2022-08-25,100154.04353098647,89993.76093181729,1,10160.282599169172
2022-08-26,99598.00816486278,89993.76093181729,1,9604.247233045486
2022-08-29,99372.48333105037,89993.76093181729,1,9378.722399233082
2022-08-30,99131.40506042332,89993.76093181729,1,9137.644128606029
2022-08-31,99003.08920670247,89993.76093181729,1,9009.32827488518
2022-09-01,99069.19131316473,89993.76093181729,1,9075.430381347434
2022-09-02,98878.66171218528,89993.76093181729,1,8884.90078036799
2022-09-06,98758.12257687176,89993.76093181729,1,8764.361645054463
2022-09-07,98874.77335298162,89993.76093181729,1,8881.012421164327
2022-09-08,98760.77702789281,87524.71065841541,2,11236.066369477401
2022-09-09,99084.8795167657,85047.55772155903,3,14037.321795206666
2022-09-12,99616.9080402735,80066.58785752977,3,19550.320182743737
2022-09-13,97966.82236265189,75168.12433900942,4,22798.69802364247
2022-09-14,98190.39143068132,72713.33388369647,4,25477.05754698486
2022-09-15,97374.19565469013,67844.50244100587,4,29529.693213684266
2022-09-16,97114.65164101763,67844.50244100587,4,29270.149200011758
2022-09-19,97412.73043368616,67844.50244100587,4,29568.227992680288
2022-09-20,97145.53752925147,65415.83365958641,4,31729.703869665052
2022-09-21,96227.49192182203,63010.11630510214,4,33217.37561671989
2022-09-22,96303.06932224485,63010.11630510214,4,33292.953017142696
2022-09-23,95441.92335290645,60624.03841021133,4,34817.88494269512
2022-09-26,95501.16794193871,60624.03841021133,4,34877.12953172737
2022-09-27,95290.65903489571,60624.03841021133,4,34666.62062468439
2022-09-28,96173.61988543833,60624.03841021133,4,35549.581475226994
2022-09-29,94629.28295114437,60624.03841021133,4,34005.24454093304
2022-09-30,93608.29763827447,60624.03841021133,4,32984.25922806314
2022-10-03,94994.66757027704,60624.03841021133,4,34370.62916006571
2022-10-04,96728.7858701652,60624.03841021133,4,36104.74745995387
2022-10-05,96690.79242320606,60624.03841021133,4,36066.75401299474
2022-10-06,96461.25488779492,60624.03841021133,4,35837.216477583584
2022-10-07,94278.98804703611,60624.03841021133,4,33654.949636824786
2022-10-10,93752.06678023703,60624.03841021133,4,33128.0283700257
2022-10-11,93164.0468243154,60624.03841021133,4,32540.008414104075
2022-10-12,93304.17383720393,60624.03841021133,4,32680.13542699259
2022-10-13,94268.49386517605,60624.03841021133,4,33644.45545496472
2022-10-14,92645.75278068322,60624.03841021133,4,32021.714370471884
2022-10-17,94582.1331690522,60624.03841021133,4,33958.094758840874
2022-10-18,95092.61163085687,60624.03841021133,4,34468.57322064554
2022-10-19,94751.12732510876,60624.03841021133,4,34127.088914897424
2022-10-20,94780.89228256588,60624.03841021133,4,34156.85387235454
2022-10-21,96023.28501861711,60624.03841021133,4,35399.246608405774
2022-10-24,96725.10929342946,60624.03841021133,4,36101.070883218126
2022-10-25,97480.49429121919,60624.03841021133,4,36856.45588100786
2022-10-26,94269.19930793169,60624.03841021133,4,33645.16089772036
2022-10-27,92805.68573000004,60624.03841021133,4,32181.647319788706
2022-10-28,93752.75041018323,60624.03841021133,4,33128.7119999719
2022-10-31,92999.09797920966,60624.03841021133,4,32375.059568998335
2022-11-01,91431.67965064666,60624.03841021133,4,30807.641240435325
2022-11-02,89599.03012660511,60624.03841021133,4,28974.99171639378
2022-11-03,88064.8967654534,60624.03841021133,4,27440.858355242075
2022-11-04,88931.65309124929,60624.03841021133,4,28307.61468103796
2022-11-07,89533.53667437089,60624.03841021133,4,28909.498264159556
2022-11-08,89545.88538362495,60624.03841021133,4,28921.846973413612
2022-11-09,88439.4950410721,60624.03841021133,4,27815.45663086077
2022-11-10,92155.3021775786,60624.03841021133,4,31531.263767367273
2022-11-11,93336.47983392666,60624.03841021133,4,32712.441423715318
2022-11-14,92640.54714211152,60624.03841021133,4,32016.508731900198
2022-11-15,93146.85167165582,60624.03841021133,4,32522.81326144449
2022-11-16,92971.6799361612,60624.03841021133,4,32347.641525949883
2022-11-17,92774.5166398401,60624.03841021133,4,32150.47822962877
2022-11-18,92579.80206112954,60624.03841021133,4,31955.763650918212
2022-11-21,91976.38719588723,60624.03841021133,4,31352.3487856759
2022-11-22,92567.37523122696,60624.03841021133,4,31943.336821015633
2022-11-23,92975.69596608223,60624.03841021133,4,32351.657555870897
2022-11-25,92560.77573279945,60624.03841021133,4,31936.73732258812
2022-11-28,91852.0392362329,60624.03841021133,4,31228.00082602156
2022-11-29,91201.22517713446,60624.03841021133,4,30577.186766923125
2022-11-30,93631.68103378586,60624.03841021133,4,33007.642623574524
2022-12-01,93622.4213018011,60624.03841021133,4,32998.38289158977
2022-12-02,93320.98748659973,60624.03841021133,4,32696.94907638839
2022-12-05,92542.0122307592,60624.03841021133,4,31917.97382054787
2022-12-06,91336.21183295452,60624.03841021133,4,30712.173422743188
2022-12-07,90889.06689357459,60624.03841021133,4,30265.028483363258
