date,equity,cash,positions,exposure
2023-08-07,99998.75062468766,97500.0,1,2498.7506246876565
2023-08-08,100016.75696660645,92499.03719008021,3,7517.719776526239
2023-08-09,99882.43196848955,87504.79079789281,4,12377.641170596738
2023-08-10,99889.9130243102,87476.8983173274,3,12413.014706982794
2023-08-11,99825.77986626662,94846.39531041037,1,4979.384555856248
2023-08-14,99926.20442873766,94846.39531041037,1,5079.809118327298
2023-08-15,99834.17875117992,94844.83974964665,2,4989.339001533267
2023-08-16,99722.99816837732,89858.56524666249,3,9864.432921714833
2023-08-17,99653.6752485773,84875.75697628084,4,14777.918272296458
2023-08-18,99526.7839436128,89609.70036358484,3,9917.083580027967
2023-08-21,99708.73665852091,89609.70036358484,3,10099.036294936064
2023-08-22,99763.90161636479,84621.38063709628,4,15142.52097926851
2023-08-23,100137.35095886143,84621.38063709628,4,15515.970321765135
2023-08-24,99597.94989131759,87103.39978689367,4,12494.55010442392
2023-08-25,99756.05022738325,87103.39978689367,4,12652.650440489584
2023-08-28,99822.24381561021,87090.10296631281,4,12732.140849297393
2023-08-29,100167.38966192557,87090.10296631281,4,13077.286695612758
2023-08-30,100297.17219423383,84582.64233386287,4,15714.529860370965
2023-08-31,100341.57321147146,84582.64233386287,4,15758.930877608596
2023-09-01,100389.94047425273,79563.01988230288,4,20826.92059194985
2023-09-05,100526.36232416425,77049.82942501764,4,23476.53289914661
2023-09-06,100095.54613352058,79481.09436247,3,20614.45177105058
2023-09-07,99832.00185405141,84426.31256121711,2,15405.689292834299
2023-09-08,100064.40726932367,81924.67112459351,3,18139.73614473015
2023-09-11,100273.16438279995,79417.8106949282,3,20855.353687871757
2023-09-12,99775.08740658086,74428.93166495321,4,25346.155741627652
2023-09-13,99989.78564247114,79186.53319887847,4,20803.252443592664
2023-09-14,100232.10131285618,74174.80290259358,5,26057.298410262592
2023-09-15,99478.91347959671,74060.58889964814,5,25418.324579948578
2023-09-18,99548.01371464992,71571.85746318573,5,27976.156251464192
2023-09-19,99181.2894286204,71397.65108469993,5,27783.638343920462
2023-09-20,98160.41775806654,80853.07064928017,4,17307.347108786373
2023-09-21,97615.87782159084,85683.65555970633,3,11932.222261884504
2023-09-22,97716.94645360656,87992.64908417298,2,9724.29736943358
2023-09-25,97856.52860075579,92856.56780359439,1,4999.96079716141
2023-09-26,97546.20285843228,92671.20833790791,2,4874.994520524365
2023-09-27,97507.79411232998,90233.48302876146,2,7274.311083568526
2023-09-28,97525.47824193024,90233.48302876146,2,7291.9952131687805
2023-09-29,97569.62048560256,90228.76175721132,2,7340.858728391234
2023-10-02,97799.64526152791,90228.76175721132,2,7570.883504316596
2023-10-03,97478.67532072046,90122.10276385391,3,7356.572556866545
2023-10-04,97655.26881096898,90122.10276385391,3,7533.1660471150735
2023-10-05,97677.11703730459,85238.12487356062,4,12438.992163743975
2023-10-06,98032.60302870422,85238.12487356062,4,12794.478155143599
2023-10-09,98070.01180241964,85238.12487356062,4,12831.886928859018
2023-10-10,98149.38009661854,80330.5332402531,5,17818.846856365435
2023-10-11,98554.20982061897,80330.5332402531,5,18223.676580365867
2023-10-12,98539.30663270174,77867.01979590677,5,20672.286836794967
2023-10-13,98029.50570053855,72965.4220321751,5,25064.083668363433
2023-10-16,98594.87041817585,75416.76527929697,4,23178.10513887887
2023-10-17,98147.7891199597,77749.99249280112,4,20397.79662715859
2023-10-18,97546.45194601286,72872.54802032626,4,24673.903925686613
2023-10-19,97563.2833556745,67994.26195633903,5,29569.021399335477
2023-10-20,96602.76339944563,84579.78345953845,3,12022.979939907176
2023-10-23,96691.63614303581,84579.78345953845,3,12111.852683497364
2023-10-24,96963.88872479911,84566.68207326438,3,12397.20665153472
2023-10-25,96991.45010226988,82017.80322492818,4,14973.646877341698
2023-10-26,96211.65055555926,77207.10048968557,4,19004.550065873682
2023-10-27,96635.20129510658,77043.74383929983,4,19591.457455806747
2023-10-30,96979.75259860673,74619.21973292904,4,22360.532865677695
2023-10-31,97047.72622951526,79412.26408961257,4,17635.46213990269
2023-11-01,97703.4934607086,79412.26408961257,4,18291.229371096033
2023-11-02,98488.98590574526,74487.69174154299,4,24001.294164202263
2023-11-03,98829.2080945014,69546.10785895977,4,29283.10023554162
2023-11-06,99060.03160513926,69546.10785895977,4,29513.923746179476
2023-11-07,99714.77522223274,69546.10785895977,4,30168.667363272965
2023-11-08,99787.16768672643,69546.10785895977,4,30241.05982776666
2023-11-09,98561.07407255238,64617.93101248242,4,33943.14306006997
2023-11-10,99766.63012087115,64617.93101248242,4,35148.69910838873
2023-11-13,100398.93486140856,62107.92628156776,5,38291.0085798408
2023-11-14,102278.92126614749,56993.85243030808,6,45285.06883583942
2023-11-15,102737.2636390962,54425.388749579535,6,48311.87488951667
2023-11-16,102291.53950725065,54425.388749579535,6,47866.15075767112
2023-11-17,102147.64667297745,49317.87879199369,6,52829.76788098377
2023-11-20,103113.35291807709,49317.87879199369,6,53795.474126083405
2023-11-21,103198.96053671061,49317.87879199369,6,53881.081744716925
2023-11-22,102705.70282743992,54272.77845515283,6,48432.92437228709
2023-11-24,102431.43341687859,51711.96062550511,6,50719.472791373475
2023-11-27,102700.32481867122,51711.96062550511,6,50988.364193166104
2023-11-28,103866.19520110315,54167.15401720097,6,49699.04118390218
2023-11-29,103169.53277554145,49008.54847773575,6,54160.984297805706
2023-11-30,102331.36615186263,46450.23236096921,6,55881.133790893415
2023-12-01,102103.75655823507,53973.47892989218,5,48130.277628342876
2023-12-04,101034.21054015325,48921.642170081934,6,52112.56837007131
2023-12-05,102270.42510608325,48921.642170081934,6,53348.782936001306
2023-12-06,101679.98641338701,46379.610750234264,6,55300.37566315275
2023-12-07,103389.42875971913,46379.610750234264,6,57009.81800948486
2023-12-08,103572.1979598332,46379.610750234264,6,57192.58720959893
2023-12-11,102353.36972639766,43820.74453723158,6,58532.62518916609
2023-12-12,102604.29186465457,43820.74453723158,6,58783.54732742299
2023-12-13,103264.79268463279,43820.74453723158,6,59444.04814740122
2023-12-14,104056.40046800982,43820.74453723158,6,60235.655930778245
2023-12-15,104731.40023519206,43820.74453723158,6,60910.65569796048
2023-12-18,105705.20291715843,43820.74453723158,6,61884.458379926844
2023-12-19,106265.74292402307,43820.74453723158,6,62444.998386791485
2023-12-20,104575.999278725,43820.74453723158,6,60755.254741493416
2023-12-21,105638.47183817183,43820.74453723158,6,61817.72730094025
2023-12-22,105405.51132134345,43820.74453723158,6,61584.766784111875
2023-12-26,105921.89941327283,43820.74453723158,6,62101.15487604124
2023-12-27,106240.70365320818,58476.43033598477,5,47764.27331722342
2023-12-28,106298.40965938478,55818.936892433136,6,50479.47276695164
2023-12-29,105985.25180664862,53169.272493014054,6,52815.97931363457
2024-01-02,104446.55968679857,57762.96286143485,6,46683.59682536373
2024-01-03,103586.54330011988,62356.870666478164,6,41229.67263364172
2024-01-04,102888.8120896518,57212.3015120417,6,45676.510577610105
2024-01-05,103067.96399169325,59708.78283438763,6,43359.18115730562
2024-01-08,105013.691907472,59708.78283438763,6,45304.90907308438
2024-01-09,105455.6469614575,62073.389046530974,6,43382.25791492654
2024-01-10,106372.15066480322,59414.05205481104,6,46958.09860999219
2024-01-11,106338.16307480868,54097.011041475074,6,52241.1520333336
2024-01-12,105888.86288930642,55853.84965836976,6,50035.01323093666
2024-01-16,106120.1442184397,63678.55448329834,5,42441.58973514135
2024-01-17,105624.43451747531,63678.55448329834,5,41945.880034176975
2024-01-18,106358.69163476344,63491.90180014584,5,42866.78983461761
2024-01-19,107686.06265491877,63491.90180014584,5,44194.160854772934
2024-01-22,107451.29673717174,60805.58581954787,5,46645.71091762386
2024-01-23,107834.83697517464,63391.64011029434,5,44443.19686488029
2024-01-24,108519.10047664536,69400.05340911275,5,39119.04706753261
2024-01-25,107760.11972591009,64011.91278661978,6,43748.20693929031
2024-01-26,107808.26057726184,65408.61905327464,6,42399.6415239872
2024-01-29,108659.11567628072,70742.74805701525,5,37916.36761926546
2024-01-30,108179.3245238759,65333.64667086678,6,42845.677853009125
2024-01-31,105583.21355936822,70755.56721332688,4,34827.64634604134
2024-02-01,106462.76479023439,70755.56721332688,4,35707.19757690751
2024-02-02,107860.17206017255,76077.0426296271,3,31783.12943054545
2024-02-05,107682.0275074625,70692.80671562545,5,36989.22079183704
2024-02-06,107763.15412730172,67998.69420286629,6,39764.45992443543
2024-02-07,108544.13578485465,62571.351797871306,6,45972.78398698334
2024-02-08,108546.52705442972,62533.07586875284,6,46013.45118567688
2024-02-09,110123.59626932045,62533.07586875284,6,47590.520400567606
2024-02-12,109175.04590344924,57074.1871695649,6,52100.85873388434
2024-02-13,107727.9152211338,67671.37286338222,5,40056.542357751576
2024-02-14,108326.39336926393,64963.1791936475,5,43363.21417561643
2024-02-15,107595.15490948426,62273.26671380794,5,45321.88819567632
2024-02-16,107080.62991691037,62210.55206432607,6,44870.07785258431
2024-02-20,106170.19574652691,64861.760737400386,6,41308.43500912653
2024-02-21,106392.15763665069,62201.92356513514,6,44190.234071515544
2024-02-22,108854.90541199571,62201.92356513514,6,46652.98184686058
2024-02-23,108550.7793120215,61821.96628385919,6,46728.813028162316
2024-02-26,107861.9701197807,61770.918191529054,6,46091.05192825165
2024-02-27,107897.4640229781,59073.44788942659,6,48824.016133551515
2024-02-28,107457.56866212099,56386.97510874587,6,51070.59355337512
2024-02-29,108387.84960271875,56322.320854577345,6,52065.5287481414
2024-03-01,109090.37028109471,56322.320854577345,6,52768.04942651736
2024-03-04,107921.62197360458,69257.66812971495,5,38663.953843889634
2024-03-05,107067.2860804027,68953.53201303551,5,38113.7540673672
2024-03-06,107154.9848262519,63595.64889158494,6,43559.33593466695
2024-03-07,108679.19519929582,68628.82026070062,5,40050.3749385952
2024-03-08,109072.70758169075,75211.02113713356,6,33861.68644455719
2024-03-11,109278.2783546075,72370.38969434093,6,36907.888660266566
2024-03-12,110408.37470002055,69610.14584103516,6,40798.228858985385
2024-03-13,109877.232092692,69158.41395079959,6,40718.8181418924
2024-03-14,110312.23524016596,63642.664363964024,6,46669.57087620193
2024-03-15,109619.40690598745,60902.14495194137,6,48717.26195404607
2024-03-18,111248.74673991317,58120.89153514998,6,53127.85520476319
2024-03-19,111292.9075068946,55338.534085390536,6,55954.37342150406
2024-03-20,112536.25148039349,55338.534085390536,6,57197.717395002954
2024-03-21,111859.39858042107,52542.01418185073,6,59317.384398570335
2024-03-22,112538.59206036893,52542.01418185073,6,59996.5778785182
2024-03-25,112452.09522801252,52542.01418185073,6,59910.08104616179
2024-03-26,112449.14107942506,60566.2714216578,6,51882.86965776726
2024-03-27,112490.91309255085,60566.2714216578,6,51924.64167089304
2024-03-28,111939.86680202011,57767.739787443956,6,54172.12701457616
2024-04-01,112569.76679171766,60519.12491872585,6,52050.64187299181
2024-04-02,111143.83402649524,65785.10723183778,5,45358.72679465746
2024-04-03,111254.73908017893,65785.10723183778,5,45469.63184834115
2024-04-04,109565.71855688597,73597.72203374503,5,35967.996523140944
2024-04-05,110835.18157791387,70826.80787517976,6,40008.373702734105
2024-04-08,111361.70041189017,65258.58371854936,6,46103.11669334081
2024-04-09,111711.48648495816,67815.04248188439,6,43896.444003073775
2024-04-10,111288.85570264055,67698.98167735501,6,43589.874025285535
2024-04-11,112979.21522607445,67698.98167735501,6,45280.23354871943
2024-04-12,111743.2250053927,62111.680814370164,6,49631.544191022535
2024-04-15,109214.91790893875,69653.05073494793,6,39561.86717399081
2024-04-16,108949.39220918574,66929.28189962289,6,42020.11030956285
2024-04-17,108430.85549201671,66961.92859733506,5,41468.926894681645
2024-04-18,107632.43266619215,71810.4171428043,5,35822.01552338785
2024-04-19,106442.8934304069,74507.5092326894,6,31935.384197717507
2024-04-22,107065.94494320193,74507.5092326894,6,32558.435710512535
2024-04-23,108082.46142426171,79683.70161704329,4,28398.759807218416
2024-04-24,107956.25550305215,74285.75396063991,4,33670.50154241223
2024-04-25,107245.78766779555,79517.5095480255,3,27728.278119770053
2024-04-26,110513.54846052374,88802.05982964611,4,21711.488630877633
2024-04-29,110980.76746743948,83252.88279617834,5,27727.884671261138
2024-04-30,109379.61557789322,77783.7653576775,5,31595.850220215703
2024-05-01,109134.38135676249,77512.96163905146,4,31621.419717711033
2024-05-02,110375.30154850916,74753.54462486379,4,35621.756923645364
2024-05-03,111628.10943575483,69171.99968418699,6,42456.10975156784
2024-05-06,113217.69074309204,66341.52205232093,6,46876.16869077111
2024-05-07,112112.78295221672,68961.42207045034,6,43151.36088176638
2024-05-08,111928.53183518021,68961.42207045034,6,42967.10976472988
2024-05-09,111867.01517746286,66164.71174960546,6,45702.303427857405
2024-05-10,111596.02476580776,68561.03212426257,6,43034.992641545185
2024-05-13,112042.585391723,68561.03212426257,6,43481.55326746043
2024-05-14,112711.75595624355,68561.03212426257,6,44150.723831980984
2024-05-15,113900.76534770065,65713.4774139245,6,48187.28793377615
2024-05-16,113591.22227787478,65713.4774139245,6,47877.74486395028
2024-05-17,113444.60020976429,65713.4774139245,6,47731.12279583979
2024-05-20,114097.3388345098,62861.00830501691,6,51236.330529492894
2024-05-21,115655.0101731552,62861.00830501691,6,52794.00186813828
2024-05-22,114703.90376676012,57125.66980487231,6,57578.23396188781
2024-05-23,113863.84883492907,63559.07925017493,5,50304.76958475414
2024-05-24,115088.87443203075,63559.07925017493,5,51529.795181855814
2024-05-28,115077.59339110838,63559.07925017493,5,51518.51414093345
2024-05-29,114912.27892235274,63559.07925017493,5,51353.19967217781
2024-05-30,113867.6965951185,77247.7846783822,5,36619.9119167363
2024-05-31,113866.28077634214,71554.32837429013,6,42311.95240205202
2024-06-03,114316.85276382623,71554.32837429013,6,42762.52438953611
2024-06-04,114431.4460549643,71554.32837429013,6,42877.117680674164
2024-06-05,115767.90541663734,71554.32837429013,6,44213.57704234721
2024-06-06,115978.6268578984,65755.25212694124,7,50223.37473095717
2024-06-07,115982.26945518813,59955.99374517679,7,56026.27571001133
2024-06-10,115825.25168125327,68325.98990234807,7,47499.2617789052
2024-06-11,117351.23092004983,65392.172474956176,7,51959.05844509365
2024-06-12,119595.49332025569,70386.67225900518,6,49208.82106125051
2024-06-13,120222.92752789735,64375.37567529937,6,55847.551852597986
2024-06-14,120070.0647989639,64375.37567529937,6,55694.689123664524
2024-06-17,121462.59098700818,64375.37567529937,6,57087.21531170881
2024-06-18,121183.43245331802,58316.05264526141,6,62867.37980805661
2024-06-20,121564.77765562574,65120.76184246537,7,56444.01581316038
2024-06-21,121556.30068864865,73637.80916747794,7,47918.49152117071
2024-06-24,120856.61806924277,67594.82726496775,7,53261.79080427501
2024-06-25,122720.92229030863,64526.765876108475,7,58194.15641420016
2024-06-26,125067.27745417401,64526.765876108475,7,60540.51157806554
2024-06-27,125875.39897634619,67363.5619688375,7,58511.83700750869
2024-06-28,124140.92666434194,67158.54999044938,7,56982.376673892555
2024-07-01,126896.65635794742,63986.09394561807,7,62910.562412329346
2024-07-02,128869.33667487303,80299.41919898422,5,48569.91747588881
2024-07-03,128681.6977103866,80299.41919898422,5,48382.27851140238
2024-07-05,131264.3861612978,77017.76854481867,6,54246.61761647914
2024-07-08,130717.1591210498,89647.66000988106,5,41069.499111168734
2024-07-09,130801.71422299492,86377.5762986876,5,44424.13792430731
2024-07-10,131648.19696317567,86377.5762986876,5,45270.62066448807
2024-07-11,128772.88311586785,79938.77125321291,6,48834.11186265494
2024-07-12,128398.93570489882,92172.42910461937,5,36226.50660027944
2024-07-15,128361.40576487093,85754.19844079702,5,42607.20732407391
2024-07-16,127896.96014531897,88875.09850247491,6,39021.861642844065
2024-07-17,125568.84306496635,85657.71257483616,5,39911.1304901302
2024-07-18,125407.6123571636,91072.4246279036,6,34335.18772925999
2024-07-19,124543.0384562066,96763.42280064688,6,27779.615655559726
2024-07-22,125786.04646790057,90473.96331934376,6,35312.083148556805
2024-07-23,125922.07340138331,84177.70232141357,6,41744.371079969744
2024-07-24,121000.46253624762,114953.31180603208,2,6047.15073021553
2024-07-25,121017.87670312637,108902.26677035014,4,12115.609932776231
2024-07-26,121123.77517390877,102845.92667881883,4,18277.848495089947
2024-07-29,121728.28895492142,102561.06510124,4,19167.22385368142
2024-07-30,120646.2445194942,102582.1713594637,3,18064.073160030497
