tp_pct,sample,test,start,end,symbols,profit,premium,trades,wins,win_rate_pct,profit_on_premium_pct,positive_symbols,max_symbol_share_pct
500,combined_adverse,tp_500_combined_adverse,2023-08-06,2026-08-05,10,-10728.0462509631,234088.35534764943,578,181,31.314878892733567,-4.58290470494812,3,
550,combined_adverse,tp_550_combined_adverse,2023-08-06,2026-08-05,10,-11638.438793083882,234088.35534764943,578,181,31.314878892733567,-4.971814499614642,3,
600,combined_adverse,tp_600_combined_adverse,2023-08-06,2026-08-05,10,-9329.959226707168,234088.35534764943,578,181,31.314878892733567,-3.985657130552715,3,
650,combined_adverse,tp_650_combined_adverse,2023-08-06,2026-08-05,10,-8123.723181245109,234088.35534764943,578,181,31.314878892733567,-3.470366208169732,3,
700,combined_adverse,tp_700_combined_adverse,2023-08-06,2026-08-05,10,-7060.84633028975,234088.35534764943,578,181,31.314878892733567,-3.016316774836383,3,
750,combined_adverse,tp_750_combined_adverse,2023-08-06,2026-08-05,10,-6909.663356199626,234088.35534764943,578,181,31.314878892733567,-2.9517330522220737,3,
800,combined_adverse,tp_800_combined_adverse,2023-08-06,2026-08-05,10,-6283.404501567729,234088.35534764943,578,181,31.314878892733567,-2.684202079268794,3,
850,combined_adverse,tp_850_combined_adverse,2023-08-06,2026-08-05,10,-7518.1076662784,234088.35534764943,578,181,31.314878892733567,-3.2116538454521173,3,
900,combined_adverse,tp_900_combined_adverse,2023-08-06,2026-08-05,10,-7498.563807584891,234088.35534764943,578,181,31.314878892733567,-3.2033049215321365,3,
950,combined_adverse,tp_950_combined_adverse,2023-08-06,2026-08-05,10,-7271.009647337349,234088.35534764943,578,181,31.314878892733567,-3.106096258628082,3,
1000,combined_adverse,tp_1000_combined_adverse,2023-08-06,2026-08-05,10,-7043.455487089799,234088.35534764943,578,181,31.314878892733567,-3.0088875957240244,3,
