entry_date,spot,strike,vol,entry_option_price,budget,contracts,exit_date,exit_option_price,pnl,reason
2025-01-07,33.70000076293945,39,0.880921029154662,1.5198024969436776,303.6011307259331,1,2025-02-04,0.0,-151.98024969436776,EXPIRY
2025-01-08,32.310001373291016,38,0.8832030725891044,1.3249268841656878,300.57200186522556,2,2025-01-16,2.3848683914982383,211.98830146651008,TARGET_80
2025-01-14,30.475000381469727,36,0.8684060789577056,1.1726206797564194,288.12925198364445,2,2025-01-16,2.110717223561555,187.61930876102707,TARGET_80
2025-10-02,50.02000045776367,56,0.5594077348873526,1.1528316980532765,371.7846140923442,3,2025-10-06,2.0750970564958977,276.6796075327864,TARGET_80
2025-10-07,51.91999816894531,57,0.6219636581861971,1.7823761782078709,370.0253910992304,2,2025-10-08,3.208277120774168,285.1801885132594,TARGET_80
2025-10-09,53.880001068115234,59,0.6338918266704331,1.9562045540672806,373.83372161666557,1,2025-11-06,0.0,-195.62045540672807,EXPIRY
2026-02-25,77.27999877929688,83,0.6870956544160487,3.7243686187771914,352.7219712136994,0,,,0.0,SKIP_PREMIUM
2026-02-26,73.18000030517578,79,0.7250672155539221,3.6934138217786163,348.8490654731483,0,,,0.0,SKIP_PREMIUM
2026-03-05,64.16000366210938,70,0.7587142874953635,3.236864748666857,351.0763743383611,1,2026-04-02,0.0,-323.6864748666857,EXPIRY
2026-03-06,58.65999984741211,64,0.8243634400194164,3.3691247965199764,350.8565040285265,1,2026-04-02,0.0,-336.9124796519976,EXPIRY
2026-06-22,102.47000122070312,108,1.0145901147295684,9.330547902302953,370.73856964010923,0,,,0.0,SKIP_PREMIUM
2026-06-23,88.56999969482422,94,1.143132806740206,9.081152447501516,369.74329042994566,0,,,0.0,SKIP_PREMIUM
2026-06-25,87.62000274658203,93,1.1335192629479218,8.887669038891012,359.7428447934701,0,,,0.0,SKIP_PREMIUM
2026-07-01,90.51499938964844,96,1.2977844782096564,10.850806825757466,384.074525400993,0,,,0.0,SKIP_PREMIUM
