entry_date,risk_pct,tp_pct,spot,strike,entry_option_price,budget,contracts,exit_date,exit_option_price,pnl,reason
2024-10-03,0.5,95,26.040000915527344,32,0.6212002969787696,557.7353041639334,8,2024-10-11,1.2113405791086005,472.11222570386474,TARGET_95
2024-10-08,0.5,95,27.894100189208984,33,0.8867552563650163,581.5204167657388,6,2024-10-17,1.7291727499117817,505.4504961280593,TARGET_95
2024-10-15,0.5,95,28.15999984741211,34,0.7695214735740077,623.6051368607652,8,2024-10-17,1.500566873469315,584.8363199162458,TARGET_95
2024-10-22,0.5,95,31.299999237060547,37,1.000786106997845,641.8174196506238,6,2024-11-19,0.0,-600.471664198707,EXPIRY
2024-10-29,0.5,95,30.769899368286133,36,1.0597300378492545,656.8397863515657,6,2024-11-26,0.0,-635.8380227095527,EXPIRY
2024-11-05,0.5,95,30.15999984741211,36,1.26231888358181,634.2548590246772,5,2024-12-03,0.0,-631.159441790905,EXPIRY
2024-11-12,0.5,95,28.78499984741211,34,1.415245806747257,723.4251965941675,5,2024-12-10,0.0,-707.6229033736286,EXPIRY
2024-11-19,0.5,95,28.065000534057617,34,0.4833710460416789,715.18679595624,14,2024-12-05,0.9425735397812739,642.883491235433,TARGET_95
2024-11-26,0.5,95,26.25,32,0.27187277863910175,735.3210569701845,27,2024-12-02,0.5301519183462484,697.353677209296,TARGET_95
2024-12-03,0.5,95,30.51000022888184,36,0.7515163585707301,758.130256226037,10,2024-12-31,0.0,-751.5163585707301,EXPIRY
2024-12-10,0.5,95,28.350000381469727,34,0.491662895276499,787.0878950374383,16,2024-12-13,0.958742645789173,747.3276008202785,TARGET_95
2024-12-17,0.5,95,30.96999931335449,36,0.8724261736959953,807.3489208370572,9,2025-01-06,1.7012310387071907,745.9243785100759,TARGET_95
2024-12-24,0.5,95,32.43000030517578,38,1.048097741027485,775.4474441895608,7,2025-01-21,0.0,-733.6684187192394,EXPIRY
2024-12-31,0.5,95,29.63999938964844,35,0.709379698083171,750.8399769690096,10,2025-01-03,1.3832904112621836,673.9107131790125,TARGET_95
2025-01-07,0.5,95,33.70000076293945,39,1.5198024969436776,782.0840379686534,5,2025-02-04,0.0,-759.9012484718388,EXPIRY
2025-01-14,0.5,95,30.475000381469727,36,1.1726206797564194,710.2788708951737,6,2025-01-16,2.2866103255250176,668.3937874611589,TARGET_95
2025-01-21,0.5,95,35.70000076293945,41,1.621479212169195,776.8439129356473,4,2025-02-18,0.0,-648.5916848676779,EXPIRY
2025-01-28,0.5,95,29.690000534057617,35,2.4748361601660545,748.7162834103196,3,2025-02-25,0.0,-742.4508480498164,EXPIRY
2025-02-04,0.5,95,30.01000022888184,36,2.4301010999980903,789.4022626355066,3,2025-03-04,0.0,-729.0303299994271,EXPIRY
2025-02-11,0.5,95,31.280000686645508,37,2.299828647888047,814.728460680042,3,2025-03-11,0.0,-689.9485943664141,EXPIRY
2025-02-18,0.5,95,29.36989974975586,35,1.9851535949782857,817.1375867642527,4,2025-03-18,0.0,-794.0614379913143,EXPIRY
2025-02-25,0.5,95,25.530000686645508,31,0.4512518228016411,753.9992031186435,16,2025-03-25,0.0,-722.0029164826258,EXPIRY
2025-03-04,0.5,95,22.8700008392334,28,0.5796254575437949,694.8599192204321,11,2025-04-01,0.0,-637.5880032981744,EXPIRY
2025-03-11,0.5,95,20.450000762939453,26,0.4420484631678603,620.3786057149587,14,2025-04-08,0.0,-618.8678484350045,EXPIRY
2025-03-18,0.5,95,20.96999931335449,26,0.6949560601919522,665.6834515574692,9,2025-04-15,0.0,-625.460454172757,EXPIRY
2025-03-25,0.5,95,22.670000076293945,28,0.8069744967099313,687.3734147301564,8,2025-04-22,0.0,-645.579597367945,EXPIRY
2025-04-01,0.5,95,19.575000762939453,25,0.29367399656577486,619.8068087994976,21,2025-04-29,0.0,-616.7153927881272,EXPIRY
2025-04-08,0.5,95,13.520000457763672,19,0.2014821850520807,543.6347124251935,26,2025-04-09,0.39289026085155737,497.6609970786393,TARGET_95
2025-04-15,0.5,95,16.479999542236328,22,0.9179017904494882,599.6080867353588,6,2025-05-13,1.789908491376502,523.2040205562083,TARGET_95
2025-04-22,0.5,95,15.18000030517578,21,0.7383761898345385,564.4907881654524,7,2025-04-24,1.43983357017735,491.02016623996803,TARGET_95
2025-04-29,0.5,95,17.81999969482422,23,1.2172834817923333,653.8200126569399,5,2025-05-02,2.37370278949505,578.2096538513583,TARGET_95
2025-05-06,0.5,95,19.40999984741211,25,1.0156306105586328,698.488119529308,6,2025-05-12,1.9804796905893338,578.9094480184206,TARGET_95
2025-05-13,0.5,95,24.44499969482422,30,0.6120061029343828,716.7446131104182,11,2025-06-10,0.0,-673.2067132278212,EXPIRY
2025-05-20,0.5,95,24.25,30,0.3721900406608585,747.1137081289588,20,2025-06-10,0.7257705792886741,707.1610772556312,TARGET_95
2025-05-27,0.5,95,25.26000022888184,31,0.41456671835568315,742.4255137957263,17,2025-06-10,0.8084051007935821,669.5252501444282,TARGET_95
2025-06-03,0.5,95,25.149999618530277,31,0.311264802228961,752.6865977938576,24,2025-06-05,0.606966364346474,709.6837490820311,TARGET_95
2025-06-10,0.5,95,28.934999465942383,34,0.3023339702155825,786.6595709895486,26,2025-06-27,0.5895512419203859,746.7649064324888,TARGET_95
2025-06-17,0.5,95,29.40399932861328,35,0.2553043225516154,798.752569878638,31,2025-06-26,0.49784342897565,751.8712299145072,TARGET_95
2025-06-24,0.5,95,30.739999771118164,36,0.37775447777817206,780.0667635882331,20,2025-06-27,0.7366212316674355,717.7335077785269,TARGET_95
2025-07-01,0.5,95,31.959999084472656,37,0.3559836429916743,836.544483369446,23,2025-07-02,0.6941681038337648,777.8242599368082,TARGET_95
2025-07-08,0.5,95,32.77000045776367,38,0.5817932704568163,825.7483456105015,14,2025-07-17,1.1344968773907917,773.7850497075657,TARGET_95
2025-07-15,0.5,95,35.310001373291016,41,0.6525158735608478,850.1306993598134,13,2025-07-17,1.2724059534436531,805.857103847647,TARGET_95
2025-07-22,0.5,95,34.404998779296875,40,0.7812791340697895,863.5514242649793,11,2025-07-25,1.5234943114360895,816.4366951029299,TARGET_95
2025-07-29,0.5,95,36.34000015258789,42,0.7508821543902746,854.1922953324038,11,2025-08-26,0.0,-825.9703698293022,EXPIRY
2025-08-05,0.5,95,33.619998931884766,39,0.6219548239351447,846.3675989025053,13,2025-08-07,1.2128119066735321,768.1142075599037,TARGET_95
2025-08-12,0.5,95,36.869998931884766,42,0.9317479263486153,873.4106828701676,9,2025-09-09,0.0,-838.5731337137537,EXPIRY
2025-08-19,0.5,95,33.33000183105469,39,0.601348706976947,869.8604650568718,14,2025-09-09,1.1726299786050465,799.7937802793392,TARGET_95
2025-08-26,0.5,95,34.88999938964844,40,0.7793733618841294,852.7017967610954,10,2025-09-09,1.5197780556740523,740.4046937899228,TARGET_95
2025-09-02,0.5,95,31.850000381469727,37,0.6164571030291857,828.3242326179537,13,2025-09-05,1.202091350906912,761.3245222410442,TARGET_95
2025-09-09,0.5,95,38.380001068115234,44,0.699907295178833,883.2453488563824,12,2025-09-10,1.3648192255987244,797.8943165038696,TARGET_95
2025-09-16,0.5,95,41.95000076293945,47,1.1222431989732193,904.3715649403101,8,2025-09-22,2.1883742379977775,852.9048312196466,TARGET_95
2025-09-23,0.5,95,48.35499954223633,54,1.1752881221250515,936.1017872073239,7,2025-10-02,2.2918118381438504,781.5666012131592,TARGET_95
2025-09-30,0.5,95,47.04890060424805,53,0.8892067216005728,916.4670631471812,10,2025-10-01,1.733953107121117,844.7463855205442,TARGET_95
2025-10-07,0.5,95,51.91999816894531,57,1.7823761782078709,928.9934339302865,5,2025-10-08,3.475633547505348,846.6286846487385,TARGET_95
2025-10-14,0.5,95,51.810001373291016,57,3.835015362427761,920.6124000908733,2,2025-11-11,0.0,-767.0030724855521,EXPIRY
2025-10-21,0.5,95,51.15999984741211,57,3.5209052469587547,933.8386188916825,2,2025-11-18,0.0,-704.181049391751,EXPIRY
2025-10-28,0.5,95,53.34999847412109,59,3.772618365398582,949.426167163044,2,2025-11-25,0.0,-754.5236730797164,EXPIRY
2025-11-04,0.5,95,50.56999969482422,56,3.3552662967003712,977.42400476945,2,2025-12-02,0.0,-671.0532593400742,EXPIRY
2025-11-11,0.5,95,49.40999984741211,55,1.2638879854632972,953.0186108853453,7,2025-12-09,0.0,-884.721589824308,EXPIRY
2025-11-18,0.5,95,44.93000030517578,50,0.990775255856585,889.8360955497355,8,2025-11-20,1.9320117489203408,752.9891944510047,TARGET_95
2025-11-25,0.5,95,46.970001220703125,52,1.3263941335428093,907.4804909150048,6,2025-12-05,2.5864685604084783,756.0446561194013,TARGET_95
2025-12-02,0.5,95,49.209999084472656,55,1.4311078956636685,920.121002322016,6,2025-12-30,0.0,-858.6647373982012,EXPIRY
2025-12-09,0.5,95,53.06999969482422,59,1.1899778626549438,923.6131612751278,7,2026-01-06,0.0,-832.9845038584606,EXPIRY
2025-12-16,0.5,95,44.630001068115234,50,1.1189568128956342,884.788231301314,7,2025-12-26,2.1819657851464864,744.1062805755965,TARGET_95
2025-12-23,0.5,95,47.40999984741211,53,1.2982340771428138,894.1825774691747,6,2026-01-02,2.5315564504284866,739.9934239714037,TARGET_95
2025-12-30,0.5,95,47.98310089111328,53,1.3417299496487853,899.4905492472477,6,2026-01-02,2.6163734018151312,764.7860712998075,TARGET_95
2026-01-06,0.5,95,56.80500030517578,62,2.374644791536195,903.687849611828,3,2026-01-15,4.63055734349558,676.7737655878155,TARGET_95
2026-01-13,0.5,95,58.16999816894531,64,1.892082988349454,924.0538159869382,4,2026-01-15,3.6895618272814352,718.9915355727925,TARGET_95
2026-01-20,0.5,95,56.380001068115234,62,2.219109866772097,876.9241625156172,3,2026-01-28,4.327264240205589,632.4463120300476,TARGET_95
2026-01-27,0.5,95,60.10850143432617,66,2.4989140272955197,909.1672666635884,3,2026-02-10,4.872882353226263,712.190497779223,TARGET_95
2026-02-03,0.5,95,58.959999084472656,64,2.2557290395526053,928.9476494273944,4,2026-02-09,4.39867162712758,857.1770350299901,TARGET_95
2026-02-10,0.5,95,68.16999816894531,74,3.41078346850621,896.6631059762242,2,2026-02-24,6.65102776358711,648.04885901618,TARGET_95
2026-02-17,0.5,95,68.63999938964844,74,3.490504060724131,849.7771329850062,2,2026-02-24,6.806482918412056,663.195771537585,TARGET_95
2026-02-24,0.5,95,76.83000183105469,82,3.8976530860925855,849.8034156513235,2,2026-03-24,0.0,-779.5306172185171,EXPIRY
2026-03-03,0.5,95,64.06500244140625,70,3.477922576410485,879.0605965335993,2,2026-03-31,0.0,-695.5845152820971,EXPIRY
2026-03-10,0.5,95,61.470001220703125,67,2.9959015397250184,867.9243750306072,2,2026-04-07,0.0,-599.1803079450037,EXPIRY
2026-03-17,0.5,95,61.0,66,3.438948279552932,867.1277597956947,2,2026-04-14,5.400001525878906,392.2106492651949,EXPIRY
2026-03-24,0.5,95,59.540000915527344,65,2.940942876886325,853.4498606580412,2,2026-04-08,5.7348386099283335,558.7791466084017,TARGET_95
2026-03-31,0.5,95,57.07500076293945,63,4.002195546654342,788.951272201909,1,2026-04-08,7.804281315975966,380.20857693216243,TARGET_95
2026-04-07,0.5,95,59.290000915527344,65,3.830607058272456,851.2485107001664,2,2026-04-08,7.469683763631289,727.8153410717666,TARGET_95
2026-04-14,0.5,95,71.4000015258789,77,5.244126245244924,890.1766098326775,1,2026-04-27,10.226046178227602,498.19199329826773,TARGET_95
2026-04-21,0.5,95,66.69999694824219,72,4.800471955730568,934.6929356442665,1,2026-04-24,9.360920313674608,456.044835794404,TARGET_95
2026-04-28,0.5,95,75.16000366210938,81,5.408583747103748,954.9376077638334,1,2026-05-26,0.6100006103515625,-479.85831367521854,EXPIRY
2026-05-05,0.5,95,75.9000015258789,81,4.943913028728076,957.177566238578,1,2026-05-06,9.640630406019747,469.67173772916715,TARGET_95
2026-05-12,0.5,95,76.44999694824219,82,5.099825301815272,973.4484531659862,1,2026-06-01,9.94465933853978,484.48340367245083,TARGET_95
2026-05-19,0.5,95,74.36000061035156,80,5.325209270502807,965.7200856120155,1,2026-05-27,10.384158077480473,505.8948806977666,TARGET_95
2026-05-26,0.5,95,81.61000061035156,87,4.839196336909968,984.2498824011241,2,2026-06-01,9.436432856974436,919.4473040128937,TARGET_95
2026-06-02,0.5,95,95.31999969482422,101,6.347963656855271,1058.3797982942513,1,2026-06-30,3.940002441406236,-240.79612154490349,EXPIRY
2026-06-09,0.5,95,86.80999755859375,92,6.254548316807039,970.1340729669192,1,2026-06-18,12.196369217773725,594.1820900966686,TARGET_95
2026-06-16,0.5,95,85.52999877929688,91,6.543695523200512,966.3444286988029,1,2026-06-18,12.760206270240998,621.6510747040486,TARGET_95
2026-06-23,0.5,95,88.56999969482422,94,9.081152447501516,926.846424100273,1,2026-06-30,17.708247272627958,862.7094825126442,TARGET_95
2026-06-30,0.5,95,104.94000244140624,110,11.925796687370337,929.0220418764436,0,,,0.0,SKIP_PREMIUM
2026-07-07,0.5,95,85.37999725341797,91,9.810642509038189,979.3702410626724,0,,,0.0,SKIP_PREMIUM
2026-07-14,0.5,95,80.4800033569336,86,8.647869965983563,967.6865070018046,1,2026-08-05,0.0,-864.7869965983564,EXPIRY
2026-07-21,0.5,95,81.44999694824219,87,7.999535605830914,904.852331157872,1,2026-08-05,0.0,-799.9535605830914,EXPIRY
2026-07-28,0.5,95,69.44000244140625,75,5.129181148080985,867.4219307925861,1,2026-08-05,10.00190323875792,487.27220906769355,TARGET_95
2026-08-04,0.5,95,77.53500366210938,83,5.966755137795069,918.0725223409576,1,2026-08-05,0.0,-596.6755137795069,EXPIRY
