risk_pct,tp_pct,option_profit,executed,wins,losses,skipped,win_rate_pct,premium_deployed,max_concurrent
0.5,95,14544.800742091611,95,59,36,2,62.10526315789474,67679.79034104846,5
0.5,90,13869.806879381536,95,60,35,2,63.1578947368421,67679.79034104846,5
0.5,80,13366.187768494998,95,63,32,2,66.3157894736842,67679.79034104846,5
0.5,85,13099.864995661808,95,61,34,2,64.21052631578948,67679.79034104846,5
0.4,95,12769.12688521068,92,58,34,5,63.04347826086957,52900.85055415888,5
0.4,90,12120.333153827352,92,59,33,5,64.13043478260869,52900.85055415888,5
0.5,75,12013.051590859452,95,64,31,2,67.36842105263158,67679.79034104846,5
0.4,80,11777.030990127494,92,62,30,5,67.3913043478261,52900.85055415888,5
0.4,85,11534.904758780182,92,60,32,5,65.21739130434783,52900.85055415888,5
0.5,70,11207.100453357323,95,65,30,2,68.42105263157895,67679.79034104846,5
