symbol,fund_name,issuer,leverage,direction,asset_scope,economic_family,underlying,source_url,source_kind,census_status,first_observed_price_date,inception_date,inception_date_basis,eligible_frozen_recent,eligibility_note,snapshot_as_of,point_in_time_eligible
SSO,ProShares Ultra S&P500,ProShares,2,long,broad_index,sp500,S&P 500,https://www.proshares.com/our-etfs/leveraged-and-inverse/sso,sponsor,current,2006-06-21,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
QLD,ProShares Ultra QQQ,ProShares,2,long,broad_index,nasdaq100,Nasdaq-100,https://www.proshares.com/our-etfs/leveraged-and-inverse/qld,sponsor,current,2006-06-21,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
USD,ProShares Ultra Semiconductors,ProShares,2,long,sector,semiconductors,Dow Jones US Semiconductors,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2007-01-30,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
ROM,ProShares Ultra Technology,ProShares,2,long,sector,technology,S&P Technology Select Sector,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2007-01-30,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
UCC,ProShares Ultra Consumer Discretionary,ProShares,2,long,sector,consumer_discretionary,S&P Consumer Discretionary Select Sector,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2007-01-30,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
UYG,ProShares Ultra Financials,ProShares,2,long,sector,financials,S&P Financial Select Sector,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2007-01-30,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
DDM,ProShares Ultra Dow30,ProShares,2,long,broad_index,dow30,Dow Jones Industrial Average,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2006-06-21,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
MVV,ProShares Ultra MidCap400,ProShares,2,long,broad_index,sp400,S&P MidCap 400,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2006-06-21,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
RXL,ProShares Ultra Health Care,ProShares,2,long,sector,healthcare,S&P Health Care Select Sector,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2007-01-30,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
DIG,ProShares Ultra Oil & Gas,ProShares,2,long,sector,energy,Dow Jones US Oil & Gas,https://www.proshares.com/our-etfs/find-leveraged-and-inverse-etfs,sponsor,current,2007-01-30,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
METU,Direxion Daily META Bull 2X ETF,Direxion,2,long,single_stock,meta,META,https://www.direxion.com/product/daily-meta-bull-and-bear-leveraged-single-stock-etfs,sponsor,current,2024-06-06,2024-06-05,sponsor,yes,Entered audit only after observed history began,2023-08-06,no
AAPU,Direxion Daily AAPL Bull 2X Shares,Direxion,2,long,single_stock,apple,AAPL,https://www.sec.gov/Archives/edgar/data/1424958/000113322826000012/0001133228-26-000012-index.htm,SEC filing,current,2022-08-09,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
MSFU,Direxion Daily MSFT Bull 2X Shares,Direxion,2,long,single_stock,microsoft,MSFT,https://www.sec.gov/Archives/edgar/data/1424958/000113322826000012/0001133228-26-000012-index.htm,SEC filing,current,2022-09-08,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
NFXL,Direxion Daily NFLX Bull 2X ETF,Direxion,2,long,single_stock,netflix,NFLX,https://www.sec.gov/Archives/edgar/data/1424958/000113322826000012/0001133228-26-000012-index.htm,SEC filing,current,2025-06-26,,price_history,yes,Entered audit only after observed history began,2023-08-06,no
PLTU,Direxion Daily PLTR Bull 2X ETF,Direxion,2,long,single_stock,palantir,PLTR,https://www.sec.gov/Archives/edgar/data/1424958/000113322826000012/0001133228-26-000012-index.htm,SEC filing,current,2025-06-26,,price_history,yes,Entered audit only after observed history began,2023-08-06,no
IBX,Tradr 2X Long IBM Daily ETF,Tradr,2,long,single_stock,ibm,IBM,https://www.tradretfs.com/ibx,sponsor,current,2026-03-23,2026-03-23,sponsor,yes,Entered audit only after sponsor inception,2023-08-06,no
NVDU,Direxion Daily NVDA Bull 2X Shares,Direxion,2,long,single_stock,nvidia,NVDA,https://www.direxion.com/product/daily-nvda-bull-and-bear-leveraged-single-stock-etfs,sponsor,current,2023-09-14,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,no
GGLL,Direxion Daily GOOGL Bull 2X Shares,Direxion,2,long,single_stock,alphabet,GOOGL,https://www.direxion.com/product/daily-googl-bull-and-bear-leveraged-single-stock-etfs,sponsor,current,2022-09-08,2022-09-07,sponsor,yes,Observed audit member,2023-08-06,yes
AMZU,Direxion Daily AMZN Bull 2X Shares,Direxion,2,long,single_stock,amazon,AMZN,https://www.sec.gov/Archives/edgar/data/1424958/000119312526088794/0001193125-26-088794-index.htm,SEC filing,current,2022-09-08,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,yes
TSLT,T-REX 2X Long Tesla Daily Target ETF,REX Shares,2,long,single_stock,tesla,TSLA,https://www.rexshares.com/tslt,sponsor,current,2023-10-20,,price_history,yes,Observed audit member; inception not asserted,2023-08-06,no
