symbol,start,end,weeks,executed,skipped,wins,losses,win_rate_pct,premium_deployed,option_profit,profit_on_deployed_pct,rank
PLTR,2024-08-07,2026-08-05,105,85,20,54,31,63.52941176470588,52769.79669403304,13056.164893678286,24.74173809950383,1
GGLL,2024-08-07,2026-08-05,105,100,5,58,42,57.99999999999999,68239.47613250125,11042.541622305529,16.182043368656757,2
NVDU,2024-08-07,2026-08-05,105,63,42,42,21,66.66666666666666,39790.009013457246,9794.624792861207,24.615789329297712,3
AMZU,2024-08-07,2026-08-05,105,105,0,59,46,56.19047619047619,80015.17305316548,5616.338680828495,7.019092087817846,4
AAPU,2024-08-07,2026-08-05,105,105,0,51,54,48.57142857142857,81773.61291300724,-916.6471223003134,-1.1209571029660448,5
METU,2024-08-07,2026-08-05,105,105,0,53,52,50.476190476190474,78825.9132001258,-3426.482967048617,-4.3468991705168705,6
IBX,2026-03-24,2026-08-05,20,20,0,8,12,40.0,17457.53756926984,-3441.5020073908604,-19.713559221827875,7
MSFU,2024-08-07,2026-08-05,105,105,0,49,56,46.666666666666664,81085.39794373901,-6427.939829055076,-7.9273703922808565,8
TSLT,2024-08-07,2026-08-05,105,105,0,50,55,47.61904761904761,78385.16644675475,-8382.210920779873,-10.693618832172433,9
NFLX,2024-08-07,2026-08-05,105,105,0,45,60,42.857142857142854,75201.54825423525,-15004.56643605869,-19.952470107839375,10
